[
  <<|java+class:///net/sourceforge/squirrel_sql/fw/dialects/FirebirdDialectExt/FirebirdDialectHelper|,|java+class:///org/hibernate/dialect/FirebirdDialect|>,211,|project://squirrel/src/net/sourceforge/squirrel_sql/fw/dialects/FirebirdDialectExt.java|(3251,52,<82,9>,<82,61>),|java+method:///org/hibernate/dialect/Dialect/getTypeName(int,int,int,int)|>,
  <<|java+interface:///net/sourceforge/squirrel_sql/fw/sql/ITableInfo|,|java+interface:///net/sourceforge/squirrel_sql/fw/sql/IDatabaseObjectInfo|>,210,|project://squirrel/src/net/sourceforge/squirrel_sql/fw/dialects/DialectUtils.java|(79079,26,<2418,6>,<2418,32>),|java+method:///net/sourceforge/squirrel_sql/fw/sql/IDatabaseObjectInfo/getDatabaseObjectType()|>,
  <<|java+interface:///net/sourceforge/squirrel_sql/fw/sql/ITableInfo|,|java+interface:///net/sourceforge/squirrel_sql/fw/sql/IDatabaseObjectInfo|>,210,|project://squirrel/src/net/sourceforge/squirrel_sql/fw/dialects/DialectUtils.java|(79728,18,<2438,80>,<2438,98>),|java+method:///net/sourceforge/squirrel_sql/fw/sql/IDatabaseObjectInfo/getSimpleName()|>,
  <<|java+class:///net/sourceforge/squirrel_sql/fw/sql/IndexInfo|,|java+class:///net/sourceforge/squirrel_sql/fw/sql/DatabaseObjectInfo|>,210,|project://squirrel/src/net/sourceforge/squirrel_sql/fw/dialects/DialectUtils.java|(79994,25,<2447,28>,<2447,53>),|java+method:///net/sourceforge/squirrel_sql/fw/sql/DatabaseObjectInfo/getSimpleName()|>,
  <<|java+class:///net/sourceforge/squirrel_sql/fw/sql/IndexInfo|,|java+class:///net/sourceforge/squirrel_sql/fw/sql/DatabaseObjectInfo|>,210,|project://squirrel/src/net/sourceforge/squirrel_sql/fw/dialects/DialectUtils.java|(80503,25,<2463,68>,<2463,93>),|java+method:///net/sourceforge/squirrel_sql/fw/sql/DatabaseObjectInfo/getSchemaName()|>,
  <<|java+interface:///net/sourceforge/squirrel_sql/fw/sql/ITableInfo|,|java+interface:///net/sourceforge/squirrel_sql/fw/sql/IDatabaseObjectInfo|>,210,|project://squirrel/src/net/sourceforge/squirrel_sql/fw/dialects/DialectUtils.java|(82665,21,<2544,9>,<2544,30>),|java+method:///net/sourceforge/squirrel_sql/fw/sql/IDatabaseObjectInfo/getSimpleName()|>,
  <<|java+class:///net/sourceforge/squirrel_sql/fw/sql/ForeignKeyInfo|,|java+class:///net/sourceforge/squirrel_sql/fw/sql/DatabaseObjectInfo|>,210,|project://squirrel/src/net/sourceforge/squirrel_sql/fw/dialects/DialectUtils.java|(87992,22,<2733,12>,<2733,34>),|java+method:///net/sourceforge/squirrel_sql/fw/sql/DatabaseObjectInfo/getSimpleName()|>,
  <<|java+interface:///net/sourceforge/squirrel_sql/fw/sql/ITableInfo|,|java+interface:///net/sourceforge/squirrel_sql/fw/sql/IDatabaseObjectInfo|>,210,|project://squirrel/src/net/sourceforge/squirrel_sql/fw/dialects/DialectUtils.java|(88749,18,<2758,80>,<2758,98>),|java+method:///net/sourceforge/squirrel_sql/fw/sql/IDatabaseObjectInfo/getSimpleName()|>,
  <<|java+class:///net/sourceforge/squirrel_sql/fw/datasetviewer/cellcomponent/RestorableJTextField|,|java+class:///javax/swing/JTextField|>,211,|project://squirrel/src/net/sourceforge/squirrel_sql/fw/datasetviewer/cellcomponent/DataTypeUnknown.java|(7070,75,<201,2>,<201,77>),|java+method:///java/awt/Component/addKeyListener(java.awt.event.KeyListener)|>,
  <<|java+class:///net/sourceforge/squirrel_sql/fw/datasetviewer/cellcomponent/RestorableJTextField|,|java+class:///javax/swing/JTextField|>,211,|project://squirrel/src/net/sourceforge/squirrel_sql/fw/datasetviewer/cellcomponent/DataTypeUnknown.java|(7434,462,<209,2>,<222,4>),|java+method:///java/awt/Component/addMouseListener(java.awt.event.MouseListener)|>,
  <<|java+class:///net/sourceforge/squirrel_sql/fw/datasetviewer/cellcomponent/RestorableJTextArea|,|java+class:///javax/swing/JTextArea|>,211,|project://squirrel/src/net/sourceforge/squirrel_sql/fw/datasetviewer/cellcomponent/DataTypeUnknown.java|(9674,74,<278,2>,<278,76>),|java+method:///java/awt/Component/addKeyListener(java.awt.event.KeyListener)|>,
  <<|java+interface:///net/sourceforge/squirrel_sql/fw/util/Resources/MenuItemProperties|,|java+interface:///net/sourceforge/squirrel_sql/fw/util/Resources/MenuProperties|>,210,|project://squirrel/src/net/sourceforge/squirrel_sql/fw/util/Resources.java|(3630,8,<128,61>,<128,69>),|java+field:///net/sourceforge/squirrel_sql/fw/util/Resources/MenuProperties/MNEMONIC|>,
  <<|java+interface:///net/sourceforge/squirrel_sql/fw/util/Resources/MenuItemProperties|,|java+interface:///net/sourceforge/squirrel_sql/fw/util/Resources/MenuProperties|>,210,|project://squirrel/src/net/sourceforge/squirrel_sql/fw/util/Resources.java|(8556,8,<325,61>,<325,69>),|java+field:///net/sourceforge/squirrel_sql/fw/util/Resources/MenuProperties/MNEMONIC|>,
  <<|java+class:///net/sourceforge/squirrel_sql/fw/datasetviewer/cellcomponent/RestorableJTextField|,|java+class:///javax/swing/JTextField|>,211,|project://squirrel/src/net/sourceforge/squirrel_sql/fw/datasetviewer/cellcomponent/DataTypeClob.java|(11314,75,<298,2>,<298,77>),|java+method:///java/awt/Component/addKeyListener(java.awt.event.KeyListener)|>,
  <<|java+class:///net/sourceforge/squirrel_sql/fw/datasetviewer/cellcomponent/RestorableJTextField|,|java+class:///javax/swing/JTextField|>,211,|project://squirrel/src/net/sourceforge/squirrel_sql/fw/datasetviewer/cellcomponent/DataTypeClob.java|(11674,450,<306,2>,<319,4>),|java+method:///java/awt/Component/addMouseListener(java.awt.event.MouseListener)|>,
  <<|java+class:///net/sourceforge/squirrel_sql/fw/datasetviewer/cellcomponent/RestorableJTextArea|,|java+class:///javax/swing/JTextArea|>,211,|project://squirrel/src/net/sourceforge/squirrel_sql/fw/datasetviewer/cellcomponent/DataTypeClob.java|(15346,74,<408,2>,<408,76>),|java+method:///java/awt/Component/addKeyListener(java.awt.event.KeyListener)|>,
  <<|java+class:///net/sourceforge/squirrel_sql/fw/gui/ReadTypeCombo|,|java+class:///javax/swing/JComboBox|>,211,|project://squirrel/src/net/sourceforge/squirrel_sql/fw/datasetviewer/cellcomponent/DataTypeClob.java|(30091,51,<846,6>,<846,57>),|java+method:///javax/swing/JComboBox/setEnabled(boolean)|>,
  <<|java+class:///net/sourceforge/squirrel_sql/fw/gui/RightLabel|,|java+class:///javax/swing/JLabel|>,211,|project://squirrel/src/net/sourceforge/squirrel_sql/fw/datasetviewer/cellcomponent/DataTypeClob.java|(30150,52,<847,6>,<847,58>),|java+method:///javax/swing/JComponent/setEnabled(boolean)|>,
  <<|java+class:///net/sourceforge/squirrel_sql/fw/gui/ReadTypeCombo|,|java+class:///javax/swing/JComboBox|>,211,|project://squirrel/src/net/sourceforge/squirrel_sql/fw/datasetviewer/cellcomponent/DataTypeClob.java|(30277,32,<849,8>,<849,40>),|java+method:///javax/swing/JComboBox/getSelectedIndex()|>,
  <<|java+class:///net/sourceforge/squirrel_sql/fw/gui/IntegerField|,|java+class:///javax/swing/JTextField|>,211,|project://squirrel/src/net/sourceforge/squirrel_sql/fw/datasetviewer/cellcomponent/DataTypeClob.java|(30210,106,<848,6>,<849,47>),|java+method:///javax/swing/JComponent/setEnabled(boolean)|>,
