[
  <<|java+class:///org/castor/xmlctf/MarshallingFrameworkTestCase|,|java+class:///org/castor/xmlctf/XMLTestCase|>,220,<|java+field:///org/castor/xmlctf/XMLTestCase/_test|,|java+method:///org/castor/xmlctf/MarshallingFrameworkTestCase/tearDown()|>>,
  <<|java+class:///org/castor/xmlctf/MarshallingFrameworkTestCase|,|java+class:///org/castor/xmlctf/XMLTestCase|>,220,<|java+method:///org/castor/xmlctf/XMLTestCase/verbose(java.lang.String)|,|java+method:///org/castor/xmlctf/MarshallingFrameworkTestCase/tearDown()|>>,
  <<|java+class:///org/castor/xmlctf/MarshallingFrameworkTestCase|,|java+class:///org/castor/xmlctf/XMLTestCase|>,220,<|java+field:///org/castor/xmlctf/XMLTestCase/_rootClassName|,|java+constructor:///org/castor/xmlctf/MarshallingFrameworkTestCase/MarshallingFrameworkTestCase(org.castor.xmlctf.CastorTestCase,org.exolab.castor.tests.framework.testDescriptor.UnitTestCase,org.exolab.castor.tests.framework.testDescriptor.MarshallingTest)|>>,
  <<|java+class:///org/castor/xmlctf/MarshallingFrameworkTestCase|,|java+class:///org/castor/xmlctf/XMLTestCase|>,220,<|java+field:///org/castor/xmlctf/XMLTestCase/_hasDump|,|java+constructor:///org/castor/xmlctf/MarshallingFrameworkTestCase/MarshallingFrameworkTestCase(org.castor.xmlctf.CastorTestCase,org.exolab.castor.tests.framework.testDescriptor.UnitTestCase,org.exolab.castor.tests.framework.testDescriptor.MarshallingTest)|>>,
  <<|java+class:///org/castor/xmlctf/MarshallingFrameworkTestCase|,|java+class:///org/castor/xmlctf/XMLTestCase|>,220,<|java+field:///org/castor/xmlctf/XMLTestCase/_outputRootFile|,|java+constructor:///org/castor/xmlctf/MarshallingFrameworkTestCase/MarshallingFrameworkTestCase(org.castor.xmlctf.CastorTestCase,org.exolab.castor.tests.framework.testDescriptor.UnitTestCase,org.exolab.castor.tests.framework.testDescriptor.MarshallingTest)|>>,
  <<|java+class:///org/castor/xmlctf/MarshallingFrameworkTestCase|,|java+class:///org/castor/xmlctf/XMLTestCase|>,220,<|java+field:///org/castor/xmlctf/XMLTestCase/_name|,|java+method:///org/castor/xmlctf/MarshallingFrameworkTestCase/suite()|>>,
  <<|java+class:///org/castor/xmlctf/MarshallingFrameworkTestCase|,|java+class:///org/castor/xmlctf/XMLTestCase|>,220,<|java+field:///org/castor/xmlctf/XMLTestCase/_unitTest|,|java+method:///org/castor/xmlctf/MarshallingFrameworkTestCase/suite()|>>,
  <<|java+class:///org/castor/xmlctf/MarshallingFrameworkTestCase|,|java+class:///org/castor/xmlctf/XMLTestCase|>,220,<|java+method:///org/castor/xmlctf/XMLTestCase/getTestSuiteName()|,|java+method:///org/castor/xmlctf/MarshallingFrameworkTestCase/suite()|>>,
  <<|java+class:///org/castor/xmlctf/MarshallingFrameworkTestCase|,|java+class:///org/castor/xmlctf/XMLTestCase|>,220,<|java+field:///org/castor/xmlctf/XMLTestCase/_test|,|java+method:///org/castor/xmlctf/MarshallingFrameworkTestCase/configureMapping(java.lang.ClassLoader,java.lang.String)|>>,
  <<|java+class:///org/castor/xmlctf/MarshallingFrameworkTestCase|,|java+class:///org/castor/xmlctf/XMLTestCase|>,220,<|java+field:///org/castor/xmlctf/XMLTestCase/_unitTest|,|java+method:///org/castor/xmlctf/MarshallingFrameworkTestCase/configureMapping(java.lang.ClassLoader,java.lang.String)|>>,
