[
  <<|java+class:///org/jgroups/blocks/ConnectionTableNIO/Connection|,|java+class:///org/jgroups/blocks/BasicConnectionTable/Connection|>,<|project://JGroups/src/org/jgroups/blocks/ConnectionTableNIO.java|(19431,14,<521,35>,<521,49>),|java+method:///org/jgroups/blocks/BasicConnectionTable/Connection/destroy()|,|java+method:///org/jgroups/blocks/ConnectionTableNIO/Connection/closeSocket()|>>,
  <<|java+class:///org/jgroups/blocks/ConnectionTableNIO/Connection|,|java+class:///org/jgroups/blocks/BasicConnectionTable/Connection|>,<|project://JGroups/src/org/jgroups/blocks/ConnectionTableNIO.java|(20049,14,<535,23>,<535,37>),|java+method:///org/jgroups/blocks/BasicConnectionTable/Connection/destroy()|,|java+method:///org/jgroups/blocks/ConnectionTableNIO/Connection/closeSocket()|>>,
  <<|java+class:///org/jgroups/blocks/ConnectionTableNIO/Connection|,|java+class:///org/jgroups/blocks/BasicConnectionTable/Connection|>,<|project://JGroups/src/org/jgroups/blocks/ConnectionTableNIO.java|(20316,14,<541,23>,<541,37>),|java+method:///org/jgroups/blocks/BasicConnectionTable/Connection/destroy()|,|java+method:///org/jgroups/blocks/ConnectionTableNIO/Connection/closeSocket()|>>,
  <<|java+class:///org/jgroups/blocks/ConnectionTableNIO/Connection|,|java+class:///org/jgroups/blocks/BasicConnectionTable/Connection|>,<|project://JGroups/src/org/jgroups/blocks/ConnectionTableNIO.java|(21214,14,<562,23>,<562,37>),|java+method:///org/jgroups/blocks/BasicConnectionTable/Connection/destroy()|,|java+method:///org/jgroups/blocks/ConnectionTableNIO/Connection/closeSocket()|>>,
  <<|java+class:///org/jgroups/blocks/ConnectionTableNIO/Connection|,|java+class:///org/jgroups/blocks/BasicConnectionTable/Connection|>,<|project://JGroups/src/org/jgroups/blocks/ConnectionTableNIO.java|(27592,14,<748,28>,<748,42>),|java+method:///org/jgroups/blocks/BasicConnectionTable/Connection/destroy()|,|java+method:///org/jgroups/blocks/ConnectionTableNIO/Connection/closeSocket()|>>,
  <<|java+class:///org/jgroups/blocks/ConnectionTableNIO/Connection|,|java+class:///org/jgroups/blocks/BasicConnectionTable/Connection|>,<|project://JGroups/src/org/jgroups/blocks/ConnectionTableNIO.java|(29452,14,<791,15>,<791,29>),|java+method:///org/jgroups/blocks/BasicConnectionTable/Connection/destroy()|,|java+method:///org/jgroups/blocks/ConnectionTableNIO/Connection/closeSocket()|>>,
  <<|java+class:///org/jgroups/protocols/UDP|,|java+class:///org/jgroups/protocols/TP|>,<|project://JGroups/src/org/jgroups/protocols/UDP.java|(6484,48,<161,12>,<161,60>),|java+method:///org/jgroups/protocols/TP/sendToAllPhysicalAddresses(byte%5B%5D,int,int)|,|java+method:///org/jgroups/protocols/UDP/sendUnicast(org.jgroups.PhysicalAddress,byte%5B%5D,int,int)|>>,
  <<|java+class:///org/jgroups/JChannel|,|java+class:///org/jgroups/Channel|>,<|project://JGroups/src/org/jgroups/JChannel.java|(17334,28,<429,8>,<429,36>),|java+method:///org/jgroups/Channel/notifyChannelConnected(org.jgroups.Channel)|,|java+method:///org/jgroups/JChannel/getLog()|>>,
  <<|java+class:///org/jgroups/JChannel|,|java+class:///org/jgroups/Channel|>,<|project://JGroups/src/org/jgroups/JChannel.java|(22105,28,<529,12>,<529,40>),|java+method:///org/jgroups/Channel/notifyChannelConnected(org.jgroups.Channel)|,|java+method:///org/jgroups/JChannel/getLog()|>>,
  <<|java+class:///org/jgroups/JChannel|,|java+class:///org/jgroups/Channel|>,<|project://JGroups/src/org/jgroups/JChannel.java|(24535,31,<586,12>,<586,43>),|java+method:///org/jgroups/Channel/notifyChannelDisconnected(org.jgroups.Channel)|,|java+method:///org/jgroups/JChannel/getLog()|>>,
  <<|java+class:///org/jgroups/JChannel|,|java+class:///org/jgroups/Channel|>,<|project://JGroups/src/org/jgroups/JChannel.java|(74473,25,<1898,8>,<1898,33>),|java+method:///org/jgroups/Channel/notifyChannelClosed(org.jgroups.Channel)|,|java+method:///org/jgroups/JChannel/getLog()|>>,
  <<|java+class:///org/jgroups/blocks/ConnectionTable|,|java+class:///org/jgroups/blocks/BasicConnectionTable|>,<|project://JGroups/tests/junit-functional/org/jgroups/blocks/ConnectionTableTest.java|(4434,43,<135,16>,<135,59>),|java+method:///org/jgroups/blocks/BasicConnectionTable/send(org.jgroups.Address,byte%5B%5D,int,int)|,|java+method:///org/jgroups/blocks/ConnectionTable/getConnection(org.jgroups.Address)|>>,
  <<|java+class:///org/jgroups/protocols/TUNNEL|,|java+class:///org/jgroups/protocols/TP|>,<|project://JGroups/src/org/jgroups/protocols/TUNNEL.java|(7622,50,<211,60>,<211,110>),|java+method:///org/jgroups/protocols/TP/down(org.jgroups.Event)|,|java+project:///|>>,
  <<|java+class:///org/jgroups/blocks/RpcDispatcher|,|java+class:///org/jgroups/blocks/MessageDispatcher|>,<|project://JGroups/tests/junit/org/jgroups/blocks/MuxRpcDispatcherTest.java|(4610,28,<130,8>,<130,36>),|java+method:///org/jgroups/blocks/MessageDispatcher/start()|,|java+method:///org/jgroups/blocks/RpcDispatcher/correlatorStarted()|>>,
  <<|java+class:///org/jgroups/blocks/ConnectionTable|,|java+class:///org/jgroups/blocks/BasicConnectionTable|>,<|project://JGroups/tests/junit-functional/org/jgroups/tests/ConnectionTableUnitTest.java|(1436,36,<57,8>,<57,44>),|java+method:///org/jgroups/blocks/BasicConnectionTable/send(org.jgroups.Address,byte%5B%5D,int,int)|,|java+method:///org/jgroups/blocks/ConnectionTable/getConnection(org.jgroups.Address)|>>,
  <<|java+class:///org/jgroups/blocks/ConnectionTable|,|java+class:///org/jgroups/blocks/BasicConnectionTable|>,<|project://JGroups/tests/junit-functional/org/jgroups/tests/ConnectionTableUnitTest.java|(1786,38,<66,8>,<66,46>),|java+method:///org/jgroups/blocks/BasicConnectionTable/send(org.jgroups.Address,byte%5B%5D,int,int)|,|java+method:///org/jgroups/blocks/ConnectionTable/getConnection(org.jgroups.Address)|>>,
  <<|java+class:///org/jgroups/blocks/ConnectionTable|,|java+class:///org/jgroups/blocks/BasicConnectionTable|>,<|project://JGroups/tests/junit-functional/org/jgroups/tests/ConnectionTableUnitTest.java|(1941,28,<71,8>,<71,36>),|java+method:///org/jgroups/blocks/BasicConnectionTable/send(org.jgroups.Address,byte%5B%5D,int,int)|,|java+method:///org/jgroups/blocks/ConnectionTable/getConnection(org.jgroups.Address)|>>,
  <<|java+class:///org/jgroups/blocks/ConnectionTable|,|java+class:///org/jgroups/blocks/BasicConnectionTable|>,<|project://JGroups/tests/junit-functional/org/jgroups/tests/ConnectionTableUnitTest.java|(2311,28,<84,12>,<84,40>),|java+method:///org/jgroups/blocks/BasicConnectionTable/send(org.jgroups.Address,byte%5B%5D,int,int)|,|java+method:///org/jgroups/blocks/ConnectionTable/getConnection(org.jgroups.Address)|>>,
  <<|java+class:///org/jgroups/blocks/ConnectionTable|,|java+class:///org/jgroups/blocks/BasicConnectionTable|>,<|project://JGroups/tests/junit-functional/org/jgroups/tests/ConnectionTableUnitTest.java|(3080,27,<104,12>,<104,39>),|java+method:///org/jgroups/blocks/BasicConnectionTable/send(org.jgroups.Address,byte%5B%5D,int,int)|,|java+method:///org/jgroups/blocks/ConnectionTable/getConnection(org.jgroups.Address)|>>,
  <<|java+class:///org/jgroups/blocks/ConnectionTable|,|java+class:///org/jgroups/blocks/BasicConnectionTable|>,<|project://JGroups/tests/junit-functional/org/jgroups/tests/ConnectionTableUnitTest.java|(3962,27,<127,12>,<127,39>),|java+method:///org/jgroups/blocks/BasicConnectionTable/send(org.jgroups.Address,byte%5B%5D,int,int)|,|java+method:///org/jgroups/blocks/ConnectionTable/getConnection(org.jgroups.Address)|>>,
  <<|java+class:///org/jgroups/blocks/ConnectionTable|,|java+class:///org/jgroups/blocks/BasicConnectionTable|>,<|project://JGroups/tests/junit-functional/org/jgroups/tests/ConnectionTableUnitTest.java|(5630,26,<179,24>,<179,50>),|java+method:///org/jgroups/blocks/BasicConnectionTable/send(org.jgroups.Address,byte%5B%5D,int,int)|,|java+method:///org/jgroups/blocks/ConnectionTable/getConnection(org.jgroups.Address)|>>,
  <<|java+class:///org/jgroups/blocks/GroupRequest|,|java+class:///org/jgroups/blocks/Request|>,<|project://JGroups/src/org/jgroups/blocks/GroupRequest.java|(5531,21,<144,12>,<144,33>),|java+method:///org/jgroups/blocks/Request/checkCompletion(java.util.concurrent.Future)|,|java+method:///org/jgroups/blocks/GroupRequest/responsesComplete()|>>,
  <<|java+class:///org/jgroups/blocks/GroupRequest|,|java+class:///org/jgroups/blocks/Request|>,<|project://JGroups/src/org/jgroups/blocks/GroupRequest.java|(6531,21,<176,12>,<176,33>),|java+method:///org/jgroups/blocks/Request/checkCompletion(java.util.concurrent.Future)|,|java+method:///org/jgroups/blocks/GroupRequest/responsesComplete()|>>,
  <<|java+class:///org/jgroups/blocks/GroupRequest|,|java+class:///org/jgroups/blocks/Request|>,<|project://JGroups/src/org/jgroups/blocks/GroupRequest.java|(8267,21,<226,12>,<226,33>),|java+method:///org/jgroups/blocks/Request/checkCompletion(java.util.concurrent.Future)|,|java+method:///org/jgroups/blocks/GroupRequest/responsesComplete()|>>,
  <<|java+class:///org/jgroups/blocks/GroupRequest|,|java+class:///org/jgroups/blocks/Request|>,<|project://JGroups/src/org/jgroups/blocks/GroupRequest.java|(8689,17,<245,12>,<245,29>),|java+method:///org/jgroups/blocks/Request/waitForResults(long)|,|java+method:///org/jgroups/blocks/GroupRequest/responsesComplete()|>>,
  <<|java+class:///org/jgroups/blocks/GroupRequest|,|java+class:///org/jgroups/blocks/Request|>,<|project://JGroups/src/org/jgroups/blocks/GroupRequest.java|(8999,38,<257,15>,<257,53>),|java+method:///org/jgroups/blocks/Request/waitForResults(long)|,|java+method:///org/jgroups/blocks/GroupRequest/responsesComplete()|>>,
  <<|java+class:///org/jgroups/blocks/ConnectionTableNIO|,|java+class:///org/jgroups/blocks/BasicConnectionTable|>,<|project://JGroups/tests/other/org/jgroups/tests/ConnectionTableDemo_NIO.java|(2242,35,<67,16>,<67,51>),|java+method:///org/jgroups/blocks/BasicConnectionTable/send(org.jgroups.Address,byte%5B%5D,int,int)|,|java+method:///org/jgroups/blocks/ConnectionTableNIO/getConnection(org.jgroups.Address)|>>,
  <<|java+class:///org/jgroups/blocks/GroupRequest|,|java+class:///org/jgroups/blocks/Request|>,<|project://JGroups/src/org/jgroups/blocks/MessageDispatcher.java|(19845,13,<528,12>,<528,25>),|java+method:///org/jgroups/blocks/Request/execute()|,|java+method:///org/jgroups/blocks/GroupRequest/sendRequest()|>>,
  <<|java+class:///org/jgroups/blocks/UnicastRequest|,|java+class:///org/jgroups/blocks/Request|>,<|project://JGroups/src/org/jgroups/blocks/MessageDispatcher.java|(20988,13,<564,12>,<564,25>),|java+method:///org/jgroups/blocks/Request/execute()|,|java+method:///org/jgroups/blocks/UnicastRequest/sendRequest()|>>,
  <<|java+class:///org/jgroups/blocks/UnicastRequest|,|java+class:///org/jgroups/blocks/Request|>,<|project://JGroups/src/org/jgroups/blocks/MessageDispatcher.java|(22214,13,<597,12>,<597,25>),|java+method:///org/jgroups/blocks/Request/execute()|,|java+method:///org/jgroups/blocks/UnicastRequest/sendRequest()|>>,
  <<|java+class:///org/jgroups/mux/MuxChannel|,|java+class:///org/jgroups/JChannel|>,<|java+project:///|,|java+method:///org/jgroups/JChannel/getLocalAddress()|,|java+method:///org/jgroups/mux/MuxChannel/getAddress()|>>,
  <<|java+class:///org/jgroups/mux/MuxChannel|,|java+class:///org/jgroups/JChannel|>,<|java+project:///|,|java+method:///org/jgroups/JChannel/stopFlush()|,|java+method:///org/jgroups/mux/MuxChannel/down(org.jgroups.Event)|>>,
  <<|java+class:///org/jgroups/mux/MuxChannel|,|java+class:///org/jgroups/JChannel|>,<|java+project:///|,|java+method:///org/jgroups/JChannel/connect(java.lang.String,org.jgroups.Address,java.lang.String,long,boolean)|,|java+method:///org/jgroups/mux/MuxChannel/getView()|>>,
  <<|java+class:///org/jgroups/protocols/BasicTCP|,|java+class:///org/jgroups/protocols/TP|>,<|java+project:///|,|java+method:///org/jgroups/protocols/TP/sendToAllPhysicalAddresses(byte%5B%5D,int,int)|,|java+method:///org/jgroups/protocols/BasicTCP/sendUnicast(org.jgroups.PhysicalAddress,byte%5B%5D,int,int)|>>,
  <<|java+class:///org/jgroups/debug/Simulator/ProtocolAdapter|,|java+class:///org/jgroups/protocols/TP|>,<|java+project:///|,|java+method:///org/jgroups/protocols/TP/sendToSingleMember(org.jgroups.Address,byte%5B%5D,int,int)|,|java+method:///org/jgroups/debug/Simulator/ProtocolAdapter/up(org.jgroups.Event)|>>,
  <<|java+class:///org/jgroups/protocols/LOOPBACK|,|java+class:///org/jgroups/protocols/TP|>,<|java+project:///|,|java+method:///org/jgroups/protocols/TP/sendToSingleMember(org.jgroups.Address,byte%5B%5D,int,int)|,|java+method:///org/jgroups/protocols/LOOPBACK/sendUnicast(org.jgroups.PhysicalAddress,byte%5B%5D,int,int)|>>,
  <<|java+class:///org/jgroups/mux/MuxChannel|,|java+class:///org/jgroups/JChannel|>,<|java+project:///|,|java+method:///org/jgroups/JChannel/connect(java.lang.String,org.jgroups.Address,java.lang.String,long,boolean)|,|java+method:///org/jgroups/mux/MuxChannel/getAddress()|>>,
  <<|java+class:///org/jgroups/protocols/GMS_MergeTest/MyChannel|,|java+class:///org/jgroups/JChannel|>,<|java+project:///|,|java+method:///org/jgroups/JChannel/connect(java.lang.String,org.jgroups.Address,java.lang.String,long,boolean)|,|java+method:///org/jgroups/protocols/GMS_MergeTest/MyChannel/setAddress()|>>,
  <<|java+class:///org/jgroups/debug/Simulator/ProtocolAdapter|,|java+class:///org/jgroups/protocols/TP|>,<|java+project:///|,|java+method:///org/jgroups/protocols/TP/registerLocalAddress(org.jgroups.Address)|,|java+method:///org/jgroups/debug/Simulator/ProtocolAdapter/getPhysicalAddress()|>>,
  <<|java+class:///org/jgroups/protocols/BasicTCP|,|java+class:///org/jgroups/protocols/TP|>,<|java+project:///|,|java+method:///org/jgroups/protocols/TP/down(org.jgroups.Event)|,|java+method:///org/jgroups/protocols/BasicTCP/handleDownEvent(org.jgroups.Event)|>>,
  <<|java+class:///org/jgroups/JChannel|,|java+class:///org/jgroups/Channel|>,<|java+project:///|,|java+method:///org/jgroups/Channel/notifyChannelConnected(org.jgroups.Channel)|,|java+method:///org/jgroups/JChannel/getLog()|>>,
  <<|java+class:///org/jgroups/blocks/GroupRequest|,|java+class:///org/jgroups/blocks/Request|>,<|java+project:///|,|java+method:///org/jgroups/blocks/Request/checkCompletion(java.util.concurrent.Future)|,|java+method:///org/jgroups/blocks/GroupRequest/responsesComplete()|>>,
  <<|java+class:///org/jgroups/protocols/TUNNEL|,|java+class:///org/jgroups/protocols/TP|>,<|java+project:///|,|java+method:///org/jgroups/protocols/TP/registerLocalAddress(org.jgroups.Address)|,|java+method:///org/jgroups/protocols/TUNNEL/getPhysicalAddress()|>>,
  <<|java+class:///org/jgroups/blocks/mux/MuxRpcDispatcher|,|java+class:///org/jgroups/blocks/MessageDispatcher|>,<|java+project:///|,|java+constructor:///org/jgroups/blocks/MessageDispatcher/MessageDispatcher(org.jgroups.blocks.PullPushAdapter,java.io.Serializable,org.jgroups.MessageListener,org.jgroups.MembershipListener,org.jgroups.blocks.RequestHandler)|,|java+method:///org/jgroups/blocks/mux/MuxRpcDispatcher/start()|>>,
  <<|java+anonymousClass:///org/jgroups/protocols/NAKACK_Delivery_Test/setUp()/$anonymous1|,|java+class:///org/jgroups/protocols/TP|>,<|java+project:///|,|java+method:///org/jgroups/protocols/TP/doSend(org.jgroups.util.Buffer,org.jgroups.Address,boolean)|,|java+method:///org/jgroups/protocols/NAKACK_Delivery_Test/setUp()/$anonymous1/sendMulticast(byte%5B%5D,int,int)|>>,
  <<|java+class:///org/jgroups/blocks/MultiRequest|,|java+class:///org/jgroups/blocks/Request|>,<|java+project:///|,|java+method:///org/jgroups/blocks/Request/getResponsesComplete()|,|java+method:///org/jgroups/blocks/MultiRequest/responsesComplete()|>>,
  <<|java+class:///org/jgroups/blocks/ConnectionTableNIO/Connection|,|java+class:///org/jgroups/blocks/BasicConnectionTable/Connection|>,<|java+project:///|,|java+method:///org/jgroups/blocks/BasicConnectionTable/Connection/run()|,|java+method:///org/jgroups/blocks/ConnectionTableNIO/Connection/closeSocket()|>>,
