[
  <<|java+class:///org/jruby/RubyClass|,|java+class:///org/jruby/RubyModule|>,210,|project://JRuby/src/org/jruby/ast/InstVarNode.java|(4068,14,<116,42>,<116,56>),|java+method:///org/jruby/RubyModule/hashCode()|>,
  <<|java+class:///org/jruby/ir/IRModuleBody|,|java+class:///org/jruby/ir/IRScope|>,211,|project://JRuby/src/org/jruby/ir/IRBuilder.java|(47829,75,<997,8>,<997,83>),|java+method:///org/jruby/ir/IRScope/addInstr(org.jruby.ir.instructions.Instr)|>,
  <<|java+class:///org/jruby/ir/IRClassBody|,|java+class:///org/jruby/ir/IRModuleBody|>,211,|project://JRuby/src/org/jruby/ir/IRBuilder.java|(47939,28,<998,33>,<998,61>),|java+method:///org/jruby/ir/IRScope/getCurrentModuleVariable()|>,
  <<|java+class:///org/jruby/ir/IRModuleBody|,|java+class:///org/jruby/ir/IRScope|>,211,|project://JRuby/src/org/jruby/ir/IRBuilder.java|(47939,28,<998,33>,<998,61>),|java+method:///org/jruby/ir/IRScope/getCurrentModuleVariable()|>,
  <<|java+class:///org/jruby/ir/IRClassBody|,|java+class:///org/jruby/ir/IRModuleBody|>,211,|project://JRuby/src/org/jruby/ir/IRBuilder.java|(47914,75,<998,8>,<998,83>),|java+method:///org/jruby/ir/IRScope/addInstr(org.jruby.ir.instructions.Instr)|>,
  <<|java+class:///org/jruby/ir/IRModuleBody|,|java+class:///org/jruby/ir/IRScope|>,211,|project://JRuby/src/org/jruby/ir/IRBuilder.java|(47914,75,<998,8>,<998,83>),|java+method:///org/jruby/ir/IRScope/addInstr(org.jruby.ir.instructions.Instr)|>,
  <<|java+class:///org/jruby/ir/IRClassBody|,|java+class:///org/jruby/ir/IRModuleBody|>,211,|project://JRuby/src/org/jruby/ir/IRBuilder.java|(48190,31,<1001,24>,<1001,55>),|java+method:///org/jruby/ir/IRScope/addInstr(org.jruby.ir.instructions.Instr)|>,
  <<|java+class:///org/jruby/ir/IRModuleBody|,|java+class:///org/jruby/ir/IRScope|>,211,|project://JRuby/src/org/jruby/ir/IRBuilder.java|(48190,31,<1001,24>,<1001,55>),|java+method:///org/jruby/ir/IRScope/addInstr(org.jruby.ir.instructions.Instr)|>,
  <<|java+class:///org/jruby/ast/SClassNode|,|java+class:///org/jruby/ast/Node|>,210,|project://JRuby/src/org/jruby/ir/IRBuilder.java|(48839,24,<1020,86>,<1020,110>),|java+method:///org/jruby/ast/Node/getPosition()|>,
  <<|java+interface:///org/jruby/lexer/yacc/ISourcePosition|,|java+interface:///org/jruby/runtime/PositionAware|>,210,|project://JRuby/src/org/jruby/ir/IRBuilder.java|(48839,34,<1020,86>,<1020,120>),|java+method:///org/jruby/runtime/PositionAware/getLine()|>,
  <<|java+class:///org/jruby/ir/IRModuleBody|,|java+class:///org/jruby/ir/IRScope|>,210,|project://JRuby/src/org/jruby/ir/IRBuilder.java|(49186,12,<1026,41>,<1026,53>),|java+method:///org/jruby/ir/IRScope/getSelf()|>,
  <<|java+class:///org/jruby/ir/IRModuleBody|,|java+class:///org/jruby/ir/IRScope|>,210,|project://JRuby/src/org/jruby/ir/IRBuilder.java|(49153,47,<1026,8>,<1026,55>),|java+method:///org/jruby/ir/IRScope/addInstr(org.jruby.ir.instructions.Instr)|>,
  <<|java+class:///org/jruby/ir/IRModuleBody|,|java+class:///org/jruby/ir/IRScope|>,210,|project://JRuby/src/org/jruby/ir/IRBuilder.java|(49308,62,<1029,8>,<1029,70>),|java+method:///org/jruby/ir/IRScope/addInstr(org.jruby.ir.instructions.Instr)|>,
  <<|java+class:///org/jruby/ir/IRModuleBody|,|java+class:///org/jruby/ir/IRScope|>,210,|project://JRuby/src/org/jruby/ir/IRBuilder.java|(49406,28,<1030,34>,<1030,62>),|java+method:///org/jruby/ir/IRScope/getCurrentScopeVariable()|>,
