[
  <<|java+class:///org/jruby/ast/ClassVarDeclNode|,|java+interface:///org/jruby/ast/types/INameNode|>,|java+class:///org/jruby/ast/BlockArgNode|>,
  <<|java+class:///org/jruby/ast/DAsgnNode|,|java+interface:///org/jruby/ast/types/INameNode|>,|java+class:///org/jruby/ast/BlockArgNode|>,
  <<|java+class:///org/jruby/ir/instructions/ProcessModuleBodyInstr|,|java+interface:///org/jruby/ir/instructions/ResultInstr|>,|java+class:///org/jruby/ir/instructions/BlockGivenInstr|>,
  <<|java+class:///org/jruby/ext/jruby/JRubyUtilLibrary|,|java+interface:///org/jruby/runtime/load/Library|>,|java+anonymousClass:///org/jruby/Ruby/initBuiltins()/$anonymous2|>,
  <<|java+class:///org/jruby/ir/instructions/ReceiveExceptionInstr|,|java+interface:///org/jruby/ir/instructions/ResultInstr|>,|java+class:///org/jruby/ir/instructions/BlockGivenInstr|>,
  <<|java+class:///org/jruby/ext/jruby/JRubyConfigLibrary|,|java+interface:///org/jruby/runtime/load/Library|>,|java+anonymousClass:///org/jruby/Ruby/initBuiltins()/$anonymous2|>,
  <<|java+class:///org/jruby/ext/net/protocol/NetProtocolBufferedIOLibrary|,|java+interface:///org/jruby/runtime/load/Library|>,|java+anonymousClass:///org/jruby/Ruby/initBuiltins()/$anonymous2|>,
  <<|java+class:///org/jruby/ir/instructions/Match2Instr|,|java+interface:///org/jruby/ir/instructions/ResultInstr|>,|java+class:///org/jruby/ir/instructions/BlockGivenInstr|>,
  <<|java+class:///org/jruby/ast/FCallManyArgsNode|,|java+interface:///org/jruby/ast/types/INameNode|>,|java+class:///org/jruby/ast/BlockArgNode|>,
  <<|java+class:///org/jruby/ext/jruby/JRubySerializationLibrary|,|java+interface:///org/jruby/runtime/load/Library|>,|java+anonymousClass:///org/jruby/Ruby/initBuiltins()/$anonymous2|>,
  <<|java+class:///org/jruby/ast/GlobalAsgnNode|,|java+interface:///org/jruby/ast/types/INameNode|>,|java+class:///org/jruby/ast/BlockArgNode|>,
  <<|java+class:///org/jruby/ir/instructions/Match3Instr|,|java+interface:///org/jruby/ir/instructions/ResultInstr|>,|java+class:///org/jruby/ir/instructions/BlockGivenInstr|>,
  <<|java+class:///org/jruby/ast/LocalVarNode|,|java+interface:///org/jruby/ast/types/INameNode|>,|java+class:///org/jruby/ast/BlockArgNode|>,
  <<|java+class:///org/jruby/ext/fiber/CoroutineFiberLibrary|,|java+interface:///org/jruby/runtime/load/Library|>,|java+anonymousClass:///org/jruby/Ruby/initBuiltins()/$anonymous2|>,
  <<|java+class:///org/jruby/ext/timeout/Timeout|,|java+interface:///org/jruby/runtime/load/Library|>,|java+anonymousClass:///org/jruby/Ruby/initBuiltins()/$anonymous2|>,
  <<|java+class:///org/jruby/ir/instructions/DefineModuleInstr|,|java+interface:///org/jruby/ir/instructions/ResultInstr|>,|java+class:///org/jruby/ir/instructions/BlockGivenInstr|>,
  <<|java+class:///org/jruby/ast/NilNode|,|java+interface:///org/jruby/ast/types/INameNode|>,|java+class:///org/jruby/ast/BlockArgNode|>,
  <<|java+class:///org/jruby/ir/instructions/RuntimeHelperCall|,|java+interface:///org/jruby/ir/instructions/ResultInstr|>,|java+class:///org/jruby/ir/instructions/BlockGivenInstr|>,
  <<|java+class:///org/jruby/ext/delegate/DelegateLibrary|,|java+interface:///org/jruby/runtime/load/Library|>,|java+anonymousClass:///org/jruby/Ruby/initBuiltins()/$anonymous2|>,
  <<|java+class:///org/jruby/ast/TrueNode|,|java+interface:///org/jruby/ast/types/INameNode|>,|java+class:///org/jruby/ast/BlockArgNode|>,
  <<|java+class:///org/jruby/ext/zlib/ZlibLibrary|,|java+interface:///org/jruby/runtime/load/Library|>,|java+anonymousClass:///org/jruby/Ruby/initBuiltins()/$anonymous2|>,
  <<|java+class:///org/jruby/ext/socket/SocketLibrary|,|java+interface:///org/jruby/runtime/load/Library|>,|java+anonymousClass:///org/jruby/Ruby/initBuiltins()/$anonymous2|>,
  <<|java+class:///org/jruby/ext/thread/ThreadLibrary|,|java+interface:///org/jruby/runtime/load/Library|>,|java+anonymousClass:///org/jruby/Ruby/initBuiltins()/$anonymous2|>,
  <<|java+class:///org/jruby/ext/enumerator/EnumeratorLibrary|,|java+interface:///org/jruby/runtime/load/Library|>,|java+anonymousClass:///org/jruby/Ruby/initBuiltins()/$anonymous2|>,
  <<|java+class:///org/jruby/ext/stringio/StringIOLibrary|,|java+interface:///org/jruby/runtime/load/Library|>,|java+anonymousClass:///org/jruby/Ruby/initBuiltins()/$anonymous2|>,
  <<|java+class:///org/jruby/ext/digest/DigestLibrary|,|java+interface:///org/jruby/runtime/load/Library|>,|java+anonymousClass:///org/jruby/Ruby/initBuiltins()/$anonymous2|>,
  <<|java+class:///org/jruby/ext/bigdecimal/BigDecimalLibrary|,|java+interface:///org/jruby/runtime/load/Library|>,|java+anonymousClass:///org/jruby/Ruby/initBuiltins()/$anonymous2|>,
  <<|java+class:///org/jruby/ext/coverage/CoverageLibrary|,|java+interface:///org/jruby/runtime/load/Library|>,|java+anonymousClass:///org/jruby/Ruby/initBuiltins()/$anonymous2|>,
  <<|java+class:///org/jruby/ext/rbconfig/RbConfigLibrary|,|java+interface:///org/jruby/runtime/load/Library|>,|java+anonymousClass:///org/jruby/Ruby/initBuiltins()/$anonymous2|>,
  <<|java+class:///org/jruby/ir/instructions/ruby19/BuildLambdaInstr|,|java+interface:///org/jruby/ir/instructions/ResultInstr|>,|java+class:///org/jruby/ir/instructions/BlockGivenInstr|>,
  <<|java+class:///org/jruby/ir/instructions/GetClassVarContainerModuleInstr|,|java+interface:///org/jruby/ir/instructions/ResultInstr|>,|java+class:///org/jruby/ir/instructions/BlockGivenInstr|>,
  <<|java+class:///org/jruby/ext/tempfile/TempfileLibrary|,|java+interface:///org/jruby/runtime/load/Library|>,|java+anonymousClass:///org/jruby/Ruby/initBuiltins()/$anonymous2|>,
  <<|java+class:///org/jruby/ast/DefsNode|,|java+interface:///org/jruby/ast/types/INameNode|>,|java+class:///org/jruby/ast/BlockArgNode|>,
  <<|java+class:///org/jruby/ir/instructions/SearchConstInstr|,|java+interface:///org/jruby/ir/instructions/ResultInstr|>,|java+class:///org/jruby/ir/instructions/BlockGivenInstr|>,
  <<|java+class:///org/jruby/ext/digest/SHA2|,|java+interface:///org/jruby/runtime/load/Library|>,|java+anonymousClass:///org/jruby/Ruby/initBuiltins()/$anonymous2|>,
  <<|java+class:///org/jruby/ext/openssl/OSSLLibrary|,|java+interface:///org/jruby/runtime/load/Library|>,|java+anonymousClass:///org/jruby/Ruby/initBuiltins()/$anonymous2|>,
  <<|java+class:///org/jruby/ast/ClassVarNode|,|java+interface:///org/jruby/ast/types/INameNode|>,|java+class:///org/jruby/ast/BlockArgNode|>,
  <<|java+class:///org/jruby/ext/digest/SHA1|,|java+interface:///org/jruby/runtime/load/Library|>,|java+anonymousClass:///org/jruby/Ruby/initBuiltins()/$anonymous2|>,
  <<|java+class:///org/jruby/ast/VCallNode|,|java+interface:///org/jruby/ast/types/INameNode|>,|java+class:///org/jruby/ast/BlockArgNode|>,
  <<|java+class:///org/jruby/ir/instructions/ConstMissingInstr|,|java+interface:///org/jruby/ir/instructions/ResultInstr|>,|java+class:///org/jruby/ir/instructions/BlockGivenInstr|>,
  <<|java+class:///org/jruby/ext/io/wait/IOWaitLibrary|,|java+interface:///org/jruby/runtime/load/Library|>,|java+anonymousClass:///org/jruby/Ruby/initBuiltins()/$anonymous2|>,
  <<|java+class:///org/jruby/ext/jruby/JRubyTypeLibrary|,|java+interface:///org/jruby/runtime/load/Library|>,|java+anonymousClass:///org/jruby/Ruby/initBuiltins()/$anonymous2|>,
  <<|java+class:///org/jruby/ir/instructions/GetInstr|,|java+interface:///org/jruby/ir/instructions/ResultInstr|>,|java+class:///org/jruby/ir/instructions/BlockGivenInstr|>,
  <<|java+class:///org/jruby/ext/digest/RMD160|,|java+interface:///org/jruby/runtime/load/Library|>,|java+anonymousClass:///org/jruby/Ruby/initBuiltins()/$anonymous2|>,
  <<|java+class:///org/jruby/cext/NativeObjectAllocator|,|java+interface:///org/jruby/runtime/ObjectAllocator|>,|java+anonymousClass:///org/jruby/ext/openssl/PKeyRSA/$anonymous1|>,
  <<|java+class:///org/jruby/ir/instructions/defined/GetErrorInfoInstr|,|java+interface:///org/jruby/ir/instructions/ResultInstr|>,|java+class:///org/jruby/ir/instructions/BlockGivenInstr|>,
  <<|java+class:///org/jruby/ir/instructions/DefineMetaClassInstr|,|java+interface:///org/jruby/ir/instructions/ResultInstr|>,|java+class:///org/jruby/ir/instructions/BlockGivenInstr|>,
  <<|java+class:///org/jruby/ext/readline/ReadlineService|,|java+interface:///org/jruby/runtime/load/Library|>,|java+anonymousClass:///org/jruby/Ruby/initBuiltins()/$anonymous2|>,
  <<|java+class:///org/jruby/util/SunSignalFacade|,|java+interface:///org/jruby/util/SignalFacade|>,|java+class:///org/jruby/util/NoFunctionalitySignalFacade|>
]
