[
  <<|java+class:///org/apache/maven/project/ProjectBuilderTest|,|java+class:///org/apache/maven/AbstractCoreMavenComponentTestCase|>,220,<|java+method:///org/apache/maven/AbstractCoreMavenComponentTestCase/getProject(java.lang.String)|,|java+method:///org/apache/maven/project/ProjectBuilderTest/testSystemScopeDependencyIsPresentInTheCompileClasspathElements()|>>,
  <<|java+class:///org/apache/maven/project/ProjectBuilderTest|,|java+class:///org/apache/maven/AbstractCoreMavenComponentTestCase|>,220,<|java+method:///org/apache/maven/AbstractCoreMavenComponentTestCase/createMavenSession(java.io.File,java.util.Properties)|,|java+method:///org/apache/maven/project/ProjectBuilderTest/testSystemScopeDependencyIsPresentInTheCompileClasspathElements()|>>,
  <<|java+class:///org/apache/maven/model/profile/activation/PropertyProfileActivatorTest|,|java+class:///org/apache/maven/model/profile/activation/AbstractProfileActivatorTest|>,220,<|java+method:///org/apache/maven/model/profile/activation/AbstractProfileActivatorTest/newContext(java.util.Properties,java.util.Properties)|,|java+method:///org/apache/maven/model/profile/activation/PropertyProfileActivatorTest/testWithNameOnly_UserProperty()|>>,
  <<|java+class:///org/apache/maven/model/profile/activation/PropertyProfileActivatorTest|,|java+class:///org/apache/maven/model/profile/activation/AbstractProfileActivatorTest|>,220,<|java+method:///org/apache/maven/model/profile/activation/AbstractProfileActivatorTest/assertActivation(boolean,org.apache.maven.model.Profile,org.apache.maven.model.profile.ProfileActivationContext)|,|java+method:///org/apache/maven/model/profile/activation/PropertyProfileActivatorTest/testWithNameOnly_UserProperty()|>>,
  <<|java+class:///org/apache/maven/model/profile/activation/PropertyProfileActivatorTest|,|java+class:///org/apache/maven/model/profile/activation/AbstractProfileActivatorTest|>,220,<|java+method:///org/apache/maven/model/profile/activation/AbstractProfileActivatorTest/newContext(java.util.Properties,java.util.Properties)|,|java+method:///org/apache/maven/model/profile/activation/PropertyProfileActivatorTest/testWithNameOnly_SystemProperty()|>>,
  <<|java+class:///org/apache/maven/model/profile/activation/PropertyProfileActivatorTest|,|java+class:///org/apache/maven/model/profile/activation/AbstractProfileActivatorTest|>,220,<|java+method:///org/apache/maven/model/profile/activation/AbstractProfileActivatorTest/assertActivation(boolean,org.apache.maven.model.Profile,org.apache.maven.model.profile.ProfileActivationContext)|,|java+method:///org/apache/maven/model/profile/activation/PropertyProfileActivatorTest/testWithNameOnly_SystemProperty()|>>,
  <<|java+class:///org/apache/maven/model/profile/activation/PropertyProfileActivatorTest|,|java+class:///org/apache/maven/model/profile/activation/AbstractProfileActivatorTest|>,220,<|java+method:///org/apache/maven/model/profile/activation/AbstractProfileActivatorTest/newContext(java.util.Properties,java.util.Properties)|,|java+method:///org/apache/maven/model/profile/activation/PropertyProfileActivatorTest/testWithNegatedNameOnly_SystemProperty()|>>,
  <<|java+class:///org/apache/maven/model/profile/activation/PropertyProfileActivatorTest|,|java+class:///org/apache/maven/model/profile/activation/AbstractProfileActivatorTest|>,220,<|java+method:///org/apache/maven/model/profile/activation/AbstractProfileActivatorTest/assertActivation(boolean,org.apache.maven.model.Profile,org.apache.maven.model.profile.ProfileActivationContext)|,|java+method:///org/apache/maven/model/profile/activation/PropertyProfileActivatorTest/testWithNegatedNameOnly_SystemProperty()|>>,
  <<|java+class:///org/apache/maven/model/profile/activation/PropertyProfileActivatorTest|,|java+class:///org/apache/maven/model/profile/activation/AbstractProfileActivatorTest|>,220,<|java+method:///org/apache/maven/model/profile/activation/AbstractProfileActivatorTest/newContext(java.util.Properties,java.util.Properties)|,|java+method:///org/apache/maven/model/profile/activation/PropertyProfileActivatorTest/testWithNegatedValue_UserProperty()|>>,
  <<|java+class:///org/apache/maven/model/profile/activation/PropertyProfileActivatorTest|,|java+class:///org/apache/maven/model/profile/activation/AbstractProfileActivatorTest|>,220,<|java+method:///org/apache/maven/model/profile/activation/AbstractProfileActivatorTest/assertActivation(boolean,org.apache.maven.model.Profile,org.apache.maven.model.profile.ProfileActivationContext)|,|java+method:///org/apache/maven/model/profile/activation/PropertyProfileActivatorTest/testWithNegatedValue_UserProperty()|>>,
  <<|java+class:///org/apache/maven/model/profile/activation/PropertyProfileActivatorTest|,|java+class:///org/apache/maven/model/profile/activation/AbstractProfileActivatorTest|>,220,<|java+method:///org/apache/maven/model/profile/activation/AbstractProfileActivatorTest/newContext(java.util.Properties,java.util.Properties)|,|java+method:///org/apache/maven/model/profile/activation/PropertyProfileActivatorTest/testWithNegatedValue_SystemProperty()|>>,
  <<|java+class:///org/apache/maven/model/profile/activation/PropertyProfileActivatorTest|,|java+class:///org/apache/maven/model/profile/activation/AbstractProfileActivatorTest|>,220,<|java+method:///org/apache/maven/model/profile/activation/AbstractProfileActivatorTest/assertActivation(boolean,org.apache.maven.model.Profile,org.apache.maven.model.profile.ProfileActivationContext)|,|java+method:///org/apache/maven/model/profile/activation/PropertyProfileActivatorTest/testWithNegatedValue_SystemProperty()|>>,
  <<|java+class:///org/apache/maven/model/profile/activation/PropertyProfileActivatorTest|,|java+class:///org/apache/maven/model/profile/activation/AbstractProfileActivatorTest|>,220,<|java+method:///org/apache/maven/model/profile/activation/AbstractProfileActivatorTest/newContext(java.util.Properties,java.util.Properties)|,|java+method:///org/apache/maven/model/profile/activation/PropertyProfileActivatorTest/testWithValue_SystemProperty()|>>,
  <<|java+class:///org/apache/maven/model/profile/activation/PropertyProfileActivatorTest|,|java+class:///org/apache/maven/model/profile/activation/AbstractProfileActivatorTest|>,220,<|java+method:///org/apache/maven/model/profile/activation/AbstractProfileActivatorTest/assertActivation(boolean,org.apache.maven.model.Profile,org.apache.maven.model.profile.ProfileActivationContext)|,|java+method:///org/apache/maven/model/profile/activation/PropertyProfileActivatorTest/testWithValue_SystemProperty()|>>,
  <<|java+class:///org/apache/maven/model/profile/activation/PropertyProfileActivatorTest|,|java+class:///org/apache/maven/model/profile/activation/AbstractProfileActivatorTest|>,220,<|java+method:///org/apache/maven/model/profile/activation/AbstractProfileActivatorTest/newContext(java.util.Properties,java.util.Properties)|,|java+method:///org/apache/maven/model/profile/activation/PropertyProfileActivatorTest/testWithNegatedNameOnly_UserProperty()|>>,
  <<|java+class:///org/apache/maven/model/profile/activation/PropertyProfileActivatorTest|,|java+class:///org/apache/maven/model/profile/activation/AbstractProfileActivatorTest|>,220,<|java+method:///org/apache/maven/model/profile/activation/AbstractProfileActivatorTest/assertActivation(boolean,org.apache.maven.model.Profile,org.apache.maven.model.profile.ProfileActivationContext)|,|java+method:///org/apache/maven/model/profile/activation/PropertyProfileActivatorTest/testWithNegatedNameOnly_UserProperty()|>>,
