{
  <<|java+class:///com/itextpdf/text/pdf/PdfDictionary|,|java+class:///com/itextpdf/text/pdf/PdfObject|>,2,|java+class:///com/itextpdf/text/pdf/PdfObject|>,
  <<|java+class:///com/itextpdf/text/pdf/PdfGraphics2D|,|java+class:///java/awt/Graphics2D|>,2,|java+class:///java/awt/Graphics|>,
  <<|java+class:///com/itextpdf/rups/view/itext/treenodes/FormTreeNode|,|java+class:///com/itextpdf/rups/view/icons/IconTreeNode|>,2,|java+class:///java/lang/Object|>,
  <<|java+class:///com/itextpdf/text/pdf/PdfBorderArray|,|java+class:///com/itextpdf/text/pdf/PdfArray|>,2,|java+class:///com/itextpdf/text/pdf/PdfObject|>,
  <<|java+class:///com/itextpdf/text/pdf/PdfDocument|,|java+class:///com/itextpdf/text/Document|>,2,|java+interface:///com/itextpdf/text/ElementListener|>,
  <<|java+class:///com/itextpdf/text/pdf/PdfTemplate|,|java+class:///com/itextpdf/text/pdf/PdfContentByte|>,2,|java+class:///com/itextpdf/text/pdf/PdfContentByte|>,
  <<|java+class:///com/itextpdf/text/Image|,|java+class:///com/itextpdf/text/Rectangle|>,2,|java+class:///java/lang/Object|>,
  <<|java+class:///com/itextpdf/text/pdf/PatternColor|,|java+class:///com/itextpdf/text/pdf/ExtendedColor|>,2,|java+class:///com/itextpdf/text/BaseColor|>,
  <<|java+class:///com/itextpdf/text/pdf/PdfAnnotation|,|java+class:///com/itextpdf/text/pdf/PdfDictionary|>,2,|java+class:///com/itextpdf/text/pdf/PdfObject|>,
  <<|java+class:///com/itextpdf/text/pdf/PdfPattern|,|java+class:///com/itextpdf/text/pdf/PdfStream|>,2,|java+class:///com/itextpdf/text/pdf/PdfObject|>,
  <<|java+class:///com/itextpdf/rups/view/itext/treenodes/PdfPageTreeNode|,|java+class:///com/itextpdf/rups/view/itext/treenodes/PdfObjectTreeNode|>,2,|java+class:///java/lang/Object|>,
  <<|java+class:///com/itextpdf/text/pdf/PdfShadingPattern|,|java+class:///com/itextpdf/text/pdf/PdfDictionary|>,2,|java+class:///java/lang/Object|>,
  <<|java+class:///com/itextpdf/text/ListItem|,|java+class:///com/itextpdf/text/Paragraph|>,2,|java+interface:///com/itextpdf/text/Element|>,
  <<|java+class:///com/itextpdf/text/pdf/PdfLiteral|,|java+class:///com/itextpdf/text/pdf/PdfObject|>,2,|java+class:///java/lang/Object|>,
  <<|java+class:///com/itextpdf/text/Chapter|,|java+class:///com/itextpdf/text/Section|>,2,|java+class:///com/itextpdf/text/Section|>,
  <<|java+class:///com/itextpdf/text/pdf/PdfAppearance|,|java+class:///com/itextpdf/text/pdf/PdfTemplate|>,2,|java+class:///com/itextpdf/text/pdf/PdfContentByte|>,
  <<|java+class:///com/itextpdf/text/pdf/PdfMediaClipData|,|java+class:///com/itextpdf/text/pdf/PdfDictionary|>,2,|java+class:///com/itextpdf/text/pdf/PdfObject|>,
  <<|java+class:///com/itextpdf/rups/view/itext/XRefTable|,|java+class:///javax/swing/JTable|>,2,|java+class:///java/awt/Component|>,
  <<|java+class:///com/itextpdf/text/pdf/PdfSigGenericPKCS|,|java+class:///com/itextpdf/text/pdf/PdfSignature|>,2,|java+class:///com/itextpdf/text/pdf/PdfDictionary|>,
  <<|java+class:///com/itextpdf/text/Meta|,|java+interface:///com/itextpdf/text/Element|>,2,|java+interface:///com/itextpdf/text/Element|>,
  <<|java+class:///com/itextpdf/text/pdf/codec/Base64/OutputStream|,|java+class:///java/io/FilterOutputStream|>,2,|java+class:///java/io/OutputStream|>,
  <<|java+interface:///com/itextpdf/text/DocListener|,|java+interface:///com/itextpdf/text/ElementListener|>,2,|java+interface:///com/itextpdf/text/ElementListener|>,
  <<|java+class:///com/itextpdf/text/ListItem|,|java+class:///com/itextpdf/text/Paragraph|>,2,|java+class:///java/lang/Object|>,
  <<|java+class:///com/itextpdf/text/MarkedSection|,|java+class:///com/itextpdf/text/MarkedObject|>,2,|java+interface:///com/itextpdf/text/Element|>,
  <<|java+class:///com/itextpdf/text/pdf/PdfBorderDictionary|,|java+class:///com/itextpdf/text/pdf/PdfDictionary|>,2,|java+class:///com/itextpdf/text/pdf/PdfObject|>,
  <<|java+class:///com/itextpdf/text/Image|,|java+class:///com/itextpdf/text/Rectangle|>,2,|java+interface:///com/itextpdf/text/Element|>,
  <<|java+class:///com/itextpdf/text/pdf/PdfRendition|,|java+class:///com/itextpdf/text/pdf/PdfDictionary|>,2,|java+class:///com/itextpdf/text/pdf/PdfObject|>,
  <<|java+class:///com/itextpdf/text/ExceptionConverter|,|java+class:///java/lang/RuntimeException|>,2,|java+class:///java/lang/Throwable|>,
  <<|java+class:///com/itextpdf/text/Phrase|,|java+class:///java/util/ArrayList|>,2,|java+interface:///java/util/Collection|>,
  <<|java+class:///com/itextpdf/text/pdf/parser/FilteredTextRenderListener|,|java+interface:///com/itextpdf/text/pdf/parser/TextExtractionStrategy|>,2,|java+interface:///com/itextpdf/text/pdf/parser/RenderListener|>,
  <<|java+class:///com/itextpdf/text/pdf/PdfAcroForm|,|java+class:///com/itextpdf/text/pdf/PdfDictionary|>,2,|java+class:///com/itextpdf/text/pdf/PdfObject|>,
  <<|java+class:///com/itextpdf/text/ChapterAutoNumber|,|java+class:///com/itextpdf/text/Chapter|>,2,|java+class:///com/itextpdf/text/Section|>,
  <<|java+class:///com/itextpdf/text/Header|,|java+class:///com/itextpdf/text/Meta|>,2,|java+interface:///com/itextpdf/text/Element|>,
  <<|java+class:///com/itextpdf/text/pdf/richmedia/RichMediaAnimation|,|java+class:///com/itextpdf/text/pdf/PdfDictionary|>,2,|java+class:///com/itextpdf/text/pdf/PdfObject|>,
  <<|java+class:///com/itextpdf/text/pdf/PdfStream|,|java+class:///com/itextpdf/text/pdf/PdfDictionary|>,2,|java+class:///com/itextpdf/text/pdf/PdfObject|>,
  <<|java+interface:///com/itextpdf/text/LargeElement|,|java+interface:///com/itextpdf/text/Element|>,2,|java+interface:///com/itextpdf/text/Element|>,
  <<|java+class:///com/itextpdf/text/pdf/PdfString|,|java+class:///com/itextpdf/text/pdf/PdfObject|>,2,|java+class:///java/lang/Object|>,
  <<|java+class:///com/itextpdf/text/pdf/collection/PdfCollectionSchema|,|java+class:///com/itextpdf/text/pdf/PdfDictionary|>,2,|java+class:///com/itextpdf/text/pdf/PdfObject|>,
  <<|java+class:///com/itextpdf/text/pdf/draw/VerticalPositionMark|,|java+interface:///com/itextpdf/text/Element|>,2,|java+interface:///com/itextpdf/text/Element|>,
  <<|java+class:///com/itextpdf/text/pdf/richmedia/RichMediaDeactivation|,|java+class:///com/itextpdf/text/pdf/PdfDictionary|>,2,|java+class:///com/itextpdf/text/pdf/PdfObject|>,
  <<|java+class:///com/itextpdf/text/pdf/PdfSignature|,|java+class:///com/itextpdf/text/pdf/PdfDictionary|>,2,|java+class:///com/itextpdf/text/pdf/PdfObject|>,
  <<|java+class:///com/itextpdf/rups/view/itext/PagesTable|,|java+class:///javax/swing/JTable|>,2,|java+class:///java/awt/Component|>,
  <<|java+class:///com/itextpdf/rups/view/itext/StreamTextArea|,|java+class:///javax/swing/JScrollPane|>,2,|java+class:///java/awt/Component|>,
  <<|java+class:///com/itextpdf/text/pdf/PdfAnnotation|,|java+class:///com/itextpdf/text/pdf/PdfDictionary|>,2,|java+class:///java/lang/Object|>,
  <<|java+interface:///com/itextpdf/text/ElementListener|,|java+interface:///java/util/EventListener|>,2,|java+class:///java/lang/Object|>,
  <<|java+class:///com/itextpdf/text/pdf/PdfShadingPattern|,|java+class:///com/itextpdf/text/pdf/PdfDictionary|>,2,|java+class:///com/itextpdf/text/pdf/PdfObject|>,
  <<|java+interface:///com/itextpdf/text/DocListener|,|java+interface:///com/itextpdf/text/ElementListener|>,2,|java+class:///java/lang/Object|>,
  <<|java+class:///com/itextpdf/text/pdf/PdfDictionary|,|java+class:///com/itextpdf/text/pdf/PdfObject|>,2,|java+class:///java/lang/Object|>,
  <<|java+class:///com/itextpdf/text/pdf/PdfOCProperties|,|java+class:///com/itextpdf/text/pdf/PdfDictionary|>,2,|java+class:///com/itextpdf/text/pdf/PdfObject|>,
  <<|java+class:///com/itextpdf/text/pdf/PdfCopyFormsImp|,|java+class:///com/itextpdf/text/pdf/PdfCopyFieldsImp|>,2,|java+class:///com/itextpdf/text/pdf/PdfWriter|>,
  <<|java+class:///com/itextpdf/text/pdf/PRIndirectReference|,|java+class:///com/itextpdf/text/pdf/PdfIndirectReference|>,2,|java+class:///com/itextpdf/text/pdf/PdfObject|>,
  <<|java+class:///com/itextpdf/text/pdf/GrayColor|,|java+class:///com/itextpdf/text/pdf/ExtendedColor|>,2,|java+class:///java/lang/Object|>,
  <<|java+class:///com/itextpdf/text/pdf/PdfTemplate|,|java+class:///com/itextpdf/text/pdf/PdfContentByte|>,2,|java+class:///java/lang/Object|>,
  <<|java+class:///com/itextpdf/rups/io/FileChooserAction|,|java+class:///javax/swing/AbstractAction|>,2,|java+class:///java/lang/Object|>,
  <<|java+class:///com/itextpdf/rups/model/ObjectLoader|,|java+class:///com/itextpdf/rups/model/BackgroundTask|>,2,|java+class:///java/lang/Object|>,
  <<|java+class:///com/itextpdf/text/pdf/PdfColor|,|java+class:///com/itextpdf/text/pdf/PdfArray|>,2,|java+class:///com/itextpdf/text/pdf/PdfObject|>,
  <<|java+class:///com/itextpdf/rups/view/itext/treenodes/OutlineTreeNode|,|java+class:///com/itextpdf/rups/view/icons/IconTreeNode|>,2,|java+class:///java/lang/Object|>,
  <<|java+class:///com/itextpdf/text/pdf/richmedia/RichMediaInstance|,|java+class:///com/itextpdf/text/pdf/PdfDictionary|>,2,|java+class:///com/itextpdf/text/pdf/PdfObject|>,
  <<|java+class:///com/itextpdf/text/pdf/richmedia/RichMediaActivation|,|java+class:///com/itextpdf/text/pdf/PdfDictionary|>,2,|java+class:///com/itextpdf/text/pdf/PdfObject|>,
  <<|java+class:///com/itextpdf/text/pdf/ShadingColor|,|java+class:///com/itextpdf/text/pdf/ExtendedColor|>,2,|java+class:///com/itextpdf/text/BaseColor|>,
  <<|java+class:///com/itextpdf/text/pdf/ExtendedColor|,|java+class:///com/itextpdf/text/BaseColor|>,2,|java+class:///com/itextpdf/text/BaseColor|>,
  <<|java+class:///com/itextpdf/rups/view/itext/XfaTree|,|java+class:///javax/swing/JTree|>,2,|java+class:///java/awt/Component|>,
  <<|java+class:///com/itextpdf/rups/view/itext/OutlineTree|,|java+class:///javax/swing/JTree|>,2,|java+class:///java/awt/Component|>,
  <<|java+class:///com/itextpdf/text/pdf/PdfIndirectReference|,|java+class:///com/itextpdf/text/pdf/PdfObject|>,2,|java+class:///java/lang/Object|>,
  <<|java+class:///com/itextpdf/text/pdf/PdfName|,|java+class:///com/itextpdf/text/pdf/PdfObject|>,2,|java+class:///java/lang/Object|>,
  <<|java+class:///com/itextpdf/text/ChapterAutoNumber|,|java+class:///com/itextpdf/text/Chapter|>,2,|java+interface:///com/itextpdf/text/Element|>,
  <<|java+class:///com/itextpdf/text/pdf/PdfBoolean|,|java+class:///com/itextpdf/text/pdf/PdfObject|>,2,|java+class:///com/itextpdf/text/pdf/PdfArray|>,
  <<|java+class:///com/itextpdf/text/pdf/PdfICCBased|,|java+class:///com/itextpdf/text/pdf/PdfStream|>,2,|java+class:///com/itextpdf/text/pdf/PdfObject|>,
  <<|java+class:///com/itextpdf/text/pdf/PdfStream|,|java+class:///com/itextpdf/text/pdf/PdfDictionary|>,2,|java+class:///com/itextpdf/text/pdf/PdfDictionary|>,
  <<|java+class:///com/itextpdf/text/Section|,|java+interface:///com/itextpdf/text/TextElementArray|>,2,|java+interface:///com/itextpdf/text/Element|>,
  <<|java+class:///com/itextpdf/text/pdf/PdfGraphics2D|,|java+class:///java/awt/Graphics2D|>,2,|java+class:///java/awt/Graphics2D|>,
  <<|java+class:///com/itextpdf/text/pdf/PdfPatternPainter|,|java+class:///com/itextpdf/text/pdf/PdfTemplate|>,2,|java+class:///java/lang/Object|>,
  <<|java+class:///com/itextpdf/text/pdf/PdfImage|,|java+class:///com/itextpdf/text/pdf/PdfStream|>,2,|java+class:///com/itextpdf/text/pdf/PdfObject|>,
  <<|java+class:///com/itextpdf/rups/view/icons/IconTreeNode|,|java+class:///javax/swing/tree/DefaultMutableTreeNode|>,2,|java+interface:///javax/swing/tree/TreeNode|>,
  <<|java+class:///com/itextpdf/text/pdf/richmedia/RichMediaPosition|,|java+class:///com/itextpdf/text/pdf/PdfDictionary|>,2,|java+class:///com/itextpdf/text/pdf/PdfObject|>,
  <<|java+class:///com/itextpdf/text/Section|,|java+class:///java/util/ArrayList|>,2,|java+class:///java/lang/Object|>,
  <<|java+class:///com/itextpdf/text/pdf/PdfDashPattern|,|java+class:///com/itextpdf/text/pdf/PdfArray|>,2,|java+class:///com/itextpdf/text/pdf/PdfObject|>,
  <<|java+class:///com/itextpdf/text/html/simpleparser/IncCell|,|java+interface:///com/itextpdf/text/TextElementArray|>,2,|java+interface:///com/itextpdf/text/Element|>,
  <<|java+interface:///com/itextpdf/text/pdf/parser/TextExtractionStrategy|,|java+interface:///com/itextpdf/text/pdf/parser/RenderListener|>,2,|java+class:///java/lang/Object|>,
  <<|java+class:///com/itextpdf/text/pdf/TrueTypeFontUnicode|,|java+class:///com/itextpdf/text/pdf/TrueTypeFont|>,2,|java+class:///com/itextpdf/text/pdf/BaseFont|>,
  <<|java+class:///com/itextpdf/rups/view/icons/IconTreeNode|,|java+class:///javax/swing/tree/DefaultMutableTreeNode|>,2,|java+class:///java/lang/Object|>,
  <<|java+class:///com/itextpdf/text/pdf/PdfLayer|,|java+class:///com/itextpdf/text/pdf/PdfDictionary|>,2,|java+class:///com/itextpdf/text/pdf/PdfObject|>,
  <<|java+class:///com/itextpdf/text/pdf/collection/PdfCollection|,|java+class:///com/itextpdf/text/pdf/PdfDictionary|>,2,|java+class:///com/itextpdf/text/pdf/PdfObject|>,
  <<|java+class:///com/itextpdf/text/pdf/PdfArray|,|java+class:///com/itextpdf/text/pdf/PdfObject|>,2,|java+class:///com/itextpdf/text/pdf/PdfObject|>,
