{
  <<|java+class:///org/exolab/castor/builder/info/CollectionInfoJ2|,|java+class:///org/exolab/castor/builder/info/CollectionInfo|>,2,|java+interface:///org/castor/core/nature/PropertyHolder|>,
  <<|java+class:///org/exolab/castor/builder/binding/xml/types/descriptors/BindingTypeDescriptor|,|java+class:///org/exolab/castor/xml/util/XMLClassDescriptorImpl|>,2,|java+interface:///org/exolab/castor/xml/TypeValidator|>,
  <<|java+class:///org/exolab/castor/builder/types/XSNegativeInteger|,|java+class:///org/exolab/castor/builder/types/AbstractDigitsFacet|>,2,|java+class:///org/exolab/castor/builder/types/XSType|>,
  <<|java+class:///org/exolab/javasource/JStructure|,|java+class:///org/exolab/javasource/JType|>,2,|java+class:///java/lang/Object|>,
  <<|java+class:///org/exolab/castor/builder/types/AbstractLengthFacet|,|java+class:///org/exolab/castor/builder/types/AbstractWhiteSpaceFacet|>,2,|java+class:///org/exolab/castor/builder/types/XSType|>,
  <<|java+class:///org/exolab/castor/builder/info/nature/JDOFieldInfoNature|,|java+class:///org/castor/core/nature/BaseNature|>,2,|java+class:///java/lang/Object|>,
  <<|java+class:///org/exolab/castor/builder/info/nature/JDOClassInfoNature|,|java+class:///org/castor/core/nature/BaseNature|>,2,|java+class:///java/lang/Object|>,
  <<|java+class:///org/exolab/javasource/JStructure|,|java+class:///org/exolab/javasource/JType|>,2,|java+class:///org/exolab/javasource/JType|>,
  <<|java+class:///org/exolab/castor/builder/binding/xml/descriptors/BindingDescriptor|,|java+class:///org/exolab/castor/xml/util/XMLClassDescriptorImpl|>,2,|java+interface:///org/exolab/castor/xml/TypeValidator|>,
  <<|java+class:///org/exolab/castor/builder/types/XSNormalizedString|,|java+class:///org/exolab/castor/builder/types/AbstractLengthFacet|>,2,|java+class:///org/exolab/castor/builder/types/XSType|>,
  <<|java+class:///org/exolab/castor/builder/types/XSGMonth|,|java+class:///org/exolab/castor/builder/types/AbstractRangeFacet|>,2,|java+class:///org/exolab/castor/builder/types/XSType|>,
  <<|java+class:///org/exolab/castor/builder/types/XSClass|,|java+class:///org/exolab/castor/builder/types/XSType|>,2,|java+class:///java/lang/Object|>,
  <<|java+class:///org/exolab/castor/builder/types/AbstractWhiteSpaceFacet|,|java+class:///org/exolab/castor/builder/types/AbstractPatternFacet|>,2,|java+class:///org/exolab/castor/builder/types/XSType|>,
  <<|java+class:///org/exolab/javasource/JCollectionType|,|java+class:///org/exolab/javasource/JComponentizedType|>,2,|java+class:///org/exolab/javasource/JType|>,
  <<|java+class:///org/exolab/castor/builder/types/XSUnsignedLong|,|java+class:///org/exolab/castor/builder/types/AbstractDigitsFacet|>,2,|java+class:///org/exolab/castor/builder/types/XSType|>,
  <<|java+class:///org/exolab/castor/builder/types/XSGYearMonth|,|java+class:///org/exolab/castor/builder/types/AbstractRangeFacet|>,2,|java+class:///org/exolab/castor/builder/types/XSType|>,
  <<|java+class:///org/exolab/castor/builder/binding/xml/descriptors/EnumClassNameDescriptor|,|java+class:///org/exolab/castor/xml/util/XMLClassDescriptorImpl|>,2,|java+interface:///org/exolab/castor/xml/TypeValidator|>,
  <<|java+class:///org/exolab/castor/builder/binding/xml/descriptors/IncludeTypeDescriptor|,|java+class:///org/exolab/castor/xml/util/XMLClassDescriptorImpl|>,2,|java+interface:///org/exolab/castor/xml/TypeValidator|>,
  <<|java+class:///org/exolab/castor/builder/binding/xml/descriptors/PackageTypeChoiceDescriptor|,|java+class:///org/exolab/castor/xml/util/XMLClassDescriptorImpl|>,2,|java+interface:///org/exolab/castor/xml/TypeValidator|>,
  <<|java+class:///org/exolab/castor/builder/info/CollectionInfoJ2Collection|,|java+class:///org/exolab/castor/builder/info/CollectionInfoJ2|>,2,|java+class:///org/exolab/castor/builder/info/CollectionInfo|>,
  <<|java+class:///org/exolab/castor/builder/types/XSByte|,|java+class:///org/exolab/castor/builder/types/AbstractDigitsFacet|>,2,|java+class:///org/exolab/castor/builder/types/XSType|>,
  <<|java+class:///org/exolab/javasource/AbstractJField|,|java+class:///org/exolab/javasource/JAnnotatedElementHelper|>,2,|java+class:///java/lang/Object|>,
  <<|java+class:///org/exolab/castor/builder/types/XSFloat|,|java+class:///org/exolab/castor/builder/types/AbstractRangeFacet|>,2,|java+class:///org/exolab/castor/builder/types/XSType|>,
  <<|java+class:///org/exolab/castor/builder/info/FieldInfo|,|java+interface:///org/castor/core/nature/PropertyHolder|>,2,|java+interface:///org/castor/core/nature/PropertyHolder|>,
  <<|java+class:///org/exolab/castor/builder/binding/xml/descriptors/EnumBindingTypeDescriptor|,|java+class:///org/exolab/castor/xml/util/XMLClassDescriptorImpl|>,2,|java+interface:///org/exolab/castor/xml/TypeValidator|>,
  <<|java+class:///org/exolab/castor/builder/types/XSString|,|java+class:///org/exolab/castor/builder/types/AbstractLengthFacet|>,2,|java+class:///org/exolab/castor/builder/types/XSType|>,
  <<|java+class:///org/exolab/javasource/JConstructor|,|java+class:///org/exolab/javasource/JAnnotatedElementHelper|>,2,|java+class:///java/lang/Object|>,
  <<|java+class:///org/exolab/castor/builder/types/XSBase64Binary|,|java+class:///org/exolab/castor/builder/types/AbstractLengthFacet|>,2,|java+class:///org/exolab/castor/builder/types/XSType|>,
  <<|java+class:///org/exolab/castor/builder/info/CollectionInfoODMG30|,|java+class:///org/exolab/castor/builder/info/CollectionInfo|>,2,|java+interface:///org/castor/core/nature/PropertyHolder|>,
  <<|java+class:///org/exolab/castor/builder/SGStateInfo|,|java+class:///org/exolab/castor/builder/util/ClassInfoResolverImpl|>,2,|java+class:///java/lang/Object|>,
  <<|java+class:///org/exolab/castor/builder/binding/xml/descriptors/ForcesDescriptor|,|java+class:///org/exolab/castor/xml/util/XMLClassDescriptorImpl|>,2,|java+interface:///org/exolab/castor/xml/TypeValidator|>,
  <<|java+class:///org/exolab/castor/builder/types/XSPositiveInteger|,|java+class:///org/exolab/castor/builder/types/AbstractDigitsFacet|>,2,|java+class:///org/exolab/castor/builder/types/XSType|>,
  <<|java+class:///org/exolab/castor/builder/types/XSListType|,|java+class:///org/exolab/castor/builder/types/XSType|>,2,|java+class:///org/exolab/castor/builder/types/XSType|>
}
