[
  <<|java+class:///org/exolab/castor/builder/types/XSInt|,|java+class:///org/exolab/castor/builder/types/XSType|>,<|project://castor-1.3.3_codegen/src/main/java/org/exolab/castor/builder/TypeConversion.java|(14012,27,<300,20>,<300,47>),|java+method:///org/exolab/castor/builder/types/XSType/setFacets(org.exolab.castor.xml.schema.SimpleType)|,|java+method:///org/exolab/castor/builder/types/AbstractDigitsFacet/setFacet(org.exolab.castor.xml.schema.Facet)|>>,
  <<|java+class:///org/exolab/castor/builder/types/XSLong|,|java+class:///org/exolab/castor/builder/types/XSType|>,<|project://castor-1.3.3_codegen/src/main/java/org/exolab/castor/builder/TypeConversion.java|(14728,28,<312,20>,<312,48>),|java+method:///org/exolab/castor/builder/types/XSType/setFacets(org.exolab.castor.xml.schema.SimpleType)|,|java+method:///org/exolab/castor/builder/types/AbstractDigitsFacet/setFacet(org.exolab.castor.xml.schema.Facet)|>>,
  <<|java+class:///org/exolab/castor/builder/types/XSNonPositiveInteger|,|java+class:///org/exolab/castor/builder/types/XSType|>,<|project://castor-1.3.3_codegen/src/main/java/org/exolab/castor/builder/TypeConversion.java|(15113,33,<319,16>,<319,49>),|java+method:///org/exolab/castor/builder/types/XSType/setFacets(org.exolab.castor.xml.schema.SimpleType)|,|java+method:///org/exolab/castor/builder/types/AbstractDigitsFacet/setFacet(org.exolab.castor.xml.schema.Facet)|>>,
  <<|java+class:///org/exolab/castor/builder/types/XSNonNegativeInteger|,|java+class:///org/exolab/castor/builder/types/XSType|>,<|project://castor-1.3.3_codegen/src/main/java/org/exolab/castor/builder/TypeConversion.java|(15380,33,<323,16>,<323,49>),|java+method:///org/exolab/castor/builder/types/XSType/setFacets(org.exolab.castor.xml.schema.SimpleType)|,|java+method:///org/exolab/castor/builder/types/AbstractDigitsFacet/setFacet(org.exolab.castor.xml.schema.Facet)|>>,
  <<|java+class:///org/exolab/castor/builder/types/XSNegativeInteger|,|java+class:///org/exolab/castor/builder/types/XSType|>,<|project://castor-1.3.3_codegen/src/main/java/org/exolab/castor/builder/TypeConversion.java|(15638,32,<327,16>,<327,48>),|java+method:///org/exolab/castor/builder/types/XSType/setFacets(org.exolab.castor.xml.schema.SimpleType)|,|java+method:///org/exolab/castor/builder/types/AbstractDigitsFacet/setFacet(org.exolab.castor.xml.schema.Facet)|>>,
  <<|java+class:///org/exolab/castor/builder/types/XSUnsignedInt|,|java+class:///org/exolab/castor/builder/types/XSType|>,<|project://castor-1.3.3_codegen/src/main/java/org/exolab/castor/builder/TypeConversion.java|(15885,35,<331,16>,<331,51>),|java+method:///org/exolab/castor/builder/types/XSType/setFacets(org.exolab.castor.xml.schema.SimpleType)|,|java+method:///org/exolab/castor/builder/types/AbstractDigitsFacet/setFacet(org.exolab.castor.xml.schema.Facet)|>>,
  <<|java+class:///org/exolab/castor/builder/types/XSUnsignedShort|,|java+class:///org/exolab/castor/builder/types/XSType|>,<|project://castor-1.3.3_codegen/src/main/java/org/exolab/castor/builder/TypeConversion.java|(16144,37,<335,16>,<335,53>),|java+method:///org/exolab/castor/builder/types/XSType/setFacets(org.exolab.castor.xml.schema.SimpleType)|,|java+method:///org/exolab/castor/builder/types/AbstractDigitsFacet/setFacet(org.exolab.castor.xml.schema.Facet)|>>,
  <<|java+class:///org/exolab/castor/builder/types/XSUnsignedByte|,|java+class:///org/exolab/castor/builder/types/XSType|>,<|project://castor-1.3.3_codegen/src/main/java/org/exolab/castor/builder/TypeConversion.java|(16402,36,<339,16>,<339,52>),|java+method:///org/exolab/castor/builder/types/XSType/setFacets(org.exolab.castor.xml.schema.SimpleType)|,|java+method:///org/exolab/castor/builder/types/AbstractDigitsFacet/setFacet(org.exolab.castor.xml.schema.Facet)|>>,
  <<|java+class:///org/exolab/castor/builder/types/XSUnsignedLong|,|java+class:///org/exolab/castor/builder/types/XSType|>,<|project://castor-1.3.3_codegen/src/main/java/org/exolab/castor/builder/TypeConversion.java|(16648,36,<343,16>,<343,52>),|java+method:///org/exolab/castor/builder/types/XSType/setFacets(org.exolab.castor.xml.schema.SimpleType)|,|java+method:///org/exolab/castor/builder/types/AbstractDigitsFacet/setFacet(org.exolab.castor.xml.schema.Facet)|>>,
  <<|java+class:///org/exolab/castor/builder/types/XSNormalizedString|,|java+class:///org/exolab/castor/builder/types/XSType|>,<|project://castor-1.3.3_codegen/src/main/java/org/exolab/castor/builder/TypeConversion.java|(16964,36,<348,20>,<348,56>),|java+method:///org/exolab/castor/builder/types/XSType/setFacets(org.exolab.castor.xml.schema.SimpleType)|,|java+method:///org/exolab/castor/builder/types/AbstractLengthFacet/setFacet(org.exolab.castor.xml.schema.Facet)|>>,
