[
  <<|java+class:///org/exolab/castor/xml/util/XMLFieldDescriptorImpl|,|java+class:///org/exolab/castor/mapping/loader/FieldDescriptorImpl|>,210,|project://castor-1.3.3_xml/target/generated-sources/castor/org/exolab/castor/mapping/xml/descriptors/MappingRootDescriptor.java|(3016,24,<102,8>,<102,32>),|java+method:///org/exolab/castor/mapping/loader/FieldDescriptorImpl/setHandler(org.exolab.castor.mapping.FieldHandler)|>,
  <<|java+class:///org/exolab/castor/xml/util/XMLFieldDescriptorImpl|,|java+class:///org/exolab/castor/mapping/loader/FieldDescriptorImpl|>,210,|project://castor-1.3.3_xml/target/generated-sources/castor/org/exolab/castor/mapping/xml/descriptors/MappingRootDescriptor.java|(3050,26,<103,8>,<103,34>),|java+method:///org/exolab/castor/mapping/loader/FieldDescriptorImpl/setMultivalued(boolean)|>,
  <<|java+class:///org/exolab/castor/xml/util/XMLFieldDescriptorImpl|,|java+class:///org/exolab/castor/mapping/loader/FieldDescriptorImpl|>,210,|project://castor-1.3.3_xml/target/generated-sources/castor/org/exolab/castor/mapping/xml/descriptors/MappingRootDescriptor.java|(5366,24,<153,8>,<153,32>),|java+method:///org/exolab/castor/mapping/loader/FieldDescriptorImpl/setHandler(org.exolab.castor.mapping.FieldHandler)|>,
  <<|java+class:///org/exolab/castor/xml/util/XMLFieldDescriptorImpl|,|java+class:///org/exolab/castor/mapping/loader/FieldDescriptorImpl|>,210,|project://castor-1.3.3_xml/target/generated-sources/castor/org/exolab/castor/mapping/xml/descriptors/MappingRootDescriptor.java|(5459,25,<155,8>,<155,33>),|java+method:///org/exolab/castor/mapping/loader/FieldDescriptorImpl/setMultivalued(boolean)|>,
  <<|java+class:///org/exolab/castor/xml/util/XMLFieldDescriptorImpl|,|java+class:///org/exolab/castor/mapping/loader/FieldDescriptorImpl|>,210,|project://castor-1.3.3_xml/target/generated-sources/castor/org/exolab/castor/mapping/xml/descriptors/MappingRootDescriptor.java|(7615,24,<202,8>,<202,32>),|java+method:///org/exolab/castor/mapping/loader/FieldDescriptorImpl/setHandler(org.exolab.castor.mapping.FieldHandler)|>,
  <<|java+class:///org/exolab/castor/xml/util/XMLFieldDescriptorImpl|,|java+class:///org/exolab/castor/mapping/loader/FieldDescriptorImpl|>,210,|project://castor-1.3.3_xml/target/generated-sources/castor/org/exolab/castor/mapping/xml/descriptors/MappingRootDescriptor.java|(7708,25,<204,8>,<204,33>),|java+method:///org/exolab/castor/mapping/loader/FieldDescriptorImpl/setMultivalued(boolean)|>,
  <<|java+class:///org/exolab/castor/xml/util/XMLFieldDescriptorImpl|,|java+class:///org/exolab/castor/mapping/loader/FieldDescriptorImpl|>,210,|project://castor-1.3.3_xml/target/generated-sources/castor/org/exolab/castor/mapping/xml/descriptors/MappingRootDescriptor.java|(9840,24,<251,8>,<251,32>),|java+method:///org/exolab/castor/mapping/loader/FieldDescriptorImpl/setHandler(org.exolab.castor.mapping.FieldHandler)|>,
  <<|java+class:///org/exolab/castor/xml/util/XMLFieldDescriptorImpl|,|java+class:///org/exolab/castor/mapping/loader/FieldDescriptorImpl|>,210,|project://castor-1.3.3_xml/target/generated-sources/castor/org/exolab/castor/mapping/xml/descriptors/MappingRootDescriptor.java|(9933,25,<253,8>,<253,33>),|java+method:///org/exolab/castor/mapping/loader/FieldDescriptorImpl/setMultivalued(boolean)|>,
  <<|java+class:///org/exolab/castor/xml/util/XMLFieldDescriptorImpl|,|java+class:///org/exolab/castor/mapping/loader/FieldDescriptorImpl|>,210,|project://castor-1.3.3_xml/target/generated-sources/castor/org/exolab/castor/mapping/xml/descriptors/MappingRootDescriptor.java|(12094,24,<300,8>,<300,32>),|java+method:///org/exolab/castor/mapping/loader/FieldDescriptorImpl/setHandler(org.exolab.castor.mapping.FieldHandler)|>,
  <<|java+class:///org/exolab/castor/xml/util/XMLFieldDescriptorImpl|,|java+class:///org/exolab/castor/mapping/loader/FieldDescriptorImpl|>,210,|project://castor-1.3.3_xml/target/generated-sources/castor/org/exolab/castor/mapping/xml/descriptors/MappingRootDescriptor.java|(12187,25,<302,8>,<302,33>),|java+method:///org/exolab/castor/mapping/loader/FieldDescriptorImpl/setMultivalued(boolean)|>,
  <<|java+class:///org/exolab/castor/xml/util/XMLFieldDescriptorImpl|,|java+class:///org/exolab/castor/mapping/loader/FieldDescriptorImpl|>,210,|project://castor-1.3.3_xml/target/generated-sources/castor/org/exolab/castor/mapping/xml/descriptors/ClassMappingDescriptor.java|(2956,24,<100,8>,<100,32>),|java+method:///org/exolab/castor/mapping/loader/FieldDescriptorImpl/setHandler(org.exolab.castor.mapping.FieldHandler)|>,
  <<|java+class:///org/exolab/castor/xml/util/XMLFieldDescriptorImpl|,|java+class:///org/exolab/castor/mapping/loader/FieldDescriptorImpl|>,210,|project://castor-1.3.3_xml/target/generated-sources/castor/org/exolab/castor/mapping/xml/descriptors/ClassMappingDescriptor.java|(2990,22,<101,8>,<101,30>),|java+method:///org/exolab/castor/mapping/loader/FieldDescriptorImpl/setRequired(boolean)|>,
  <<|java+class:///org/exolab/castor/xml/util/XMLFieldDescriptorImpl|,|java+class:///org/exolab/castor/mapping/loader/FieldDescriptorImpl|>,210,|project://castor-1.3.3_xml/target/generated-sources/castor/org/exolab/castor/mapping/xml/descriptors/ClassMappingDescriptor.java|(3022,26,<102,8>,<102,34>),|java+method:///org/exolab/castor/mapping/loader/FieldDescriptorImpl/setMultivalued(boolean)|>,
  <<|java+class:///org/exolab/castor/xml/util/XMLFieldDescriptorImpl|,|java+class:///org/exolab/castor/mapping/loader/FieldDescriptorImpl|>,210,|project://castor-1.3.3_xml/target/generated-sources/castor/org/exolab/castor/mapping/xml/descriptors/ClassMappingDescriptor.java|(4822,24,<143,8>,<143,32>),|java+method:///org/exolab/castor/mapping/loader/FieldDescriptorImpl/setHandler(org.exolab.castor.mapping.FieldHandler)|>,
  <<|java+class:///org/exolab/castor/xml/util/XMLFieldDescriptorImpl|,|java+class:///org/exolab/castor/mapping/loader/FieldDescriptorImpl|>,210,|project://castor-1.3.3_xml/target/generated-sources/castor/org/exolab/castor/mapping/xml/descriptors/ClassMappingDescriptor.java|(4856,26,<144,8>,<144,34>),|java+method:///org/exolab/castor/mapping/loader/FieldDescriptorImpl/setMultivalued(boolean)|>,
  <<|java+class:///org/exolab/castor/xml/util/XMLFieldDescriptorImpl|,|java+class:///org/exolab/castor/mapping/loader/FieldDescriptorImpl|>,210,|project://castor-1.3.3_xml/target/generated-sources/castor/org/exolab/castor/mapping/xml/descriptors/ClassMappingDescriptor.java|(6625,24,<184,8>,<184,32>),|java+method:///org/exolab/castor/mapping/loader/FieldDescriptorImpl/setHandler(org.exolab.castor.mapping.FieldHandler)|>,
  <<|java+class:///org/exolab/castor/xml/util/XMLFieldDescriptorImpl|,|java+class:///org/exolab/castor/mapping/loader/FieldDescriptorImpl|>,210,|project://castor-1.3.3_xml/target/generated-sources/castor/org/exolab/castor/mapping/xml/descriptors/ClassMappingDescriptor.java|(6659,26,<185,8>,<185,34>),|java+method:///org/exolab/castor/mapping/loader/FieldDescriptorImpl/setMultivalued(boolean)|>,
  <<|java+class:///org/exolab/castor/xml/util/XMLFieldDescriptorImpl|,|java+class:///org/exolab/castor/mapping/loader/FieldDescriptorImpl|>,210,|project://castor-1.3.3_xml/target/generated-sources/castor/org/exolab/castor/mapping/xml/descriptors/ClassMappingDescriptor.java|(9026,24,<234,8>,<234,32>),|java+method:///org/exolab/castor/mapping/loader/FieldDescriptorImpl/setHandler(org.exolab.castor.mapping.FieldHandler)|>,
  <<|java+class:///org/exolab/castor/xml/util/XMLFieldDescriptorImpl|,|java+class:///org/exolab/castor/mapping/loader/FieldDescriptorImpl|>,210,|project://castor-1.3.3_xml/target/generated-sources/castor/org/exolab/castor/mapping/xml/descriptors/ClassMappingDescriptor.java|(9060,25,<235,8>,<235,33>),|java+method:///org/exolab/castor/mapping/loader/FieldDescriptorImpl/setMultivalued(boolean)|>,
  <<|java+class:///org/exolab/castor/xml/util/XMLFieldDescriptorImpl|,|java+class:///org/exolab/castor/mapping/loader/FieldDescriptorImpl|>,210,|project://castor-1.3.3_xml/target/generated-sources/castor/org/exolab/castor/mapping/xml/descriptors/ClassMappingDescriptor.java|(10792,23,<272,8>,<272,31>),|java+method:///org/exolab/castor/mapping/loader/FieldDescriptorImpl/setImmutable(boolean)|>,
  <<|java+class:///org/exolab/castor/xml/util/XMLFieldDescriptorImpl|,|java+class:///org/exolab/castor/mapping/loader/FieldDescriptorImpl|>,210,|project://castor-1.3.3_xml/target/generated-sources/castor/org/exolab/castor/mapping/xml/descriptors/ClassMappingDescriptor.java|(10879,24,<274,8>,<274,32>),|java+method:///org/exolab/castor/mapping/loader/FieldDescriptorImpl/setHandler(org.exolab.castor.mapping.FieldHandler)|>,
  <<|java+class:///org/exolab/castor/xml/util/XMLFieldDescriptorImpl|,|java+class:///org/exolab/castor/mapping/loader/FieldDescriptorImpl|>,210,|project://castor-1.3.3_xml/target/generated-sources/castor/org/exolab/castor/mapping/xml/descriptors/ClassMappingDescriptor.java|(10913,26,<275,8>,<275,34>),|java+method:///org/exolab/castor/mapping/loader/FieldDescriptorImpl/setMultivalued(boolean)|>,
