[
  <<|java+class:///org/castor/ddlgen/typeinfo/LobType|,|java+interface:///org/castor/ddlgen/typeinfo/TypeInfo|>,207,|project://castor-1.3.3_ddlgen/src/main/java/org/castor/ddlgen/engine/db2/Db2TypeMapper.java|(4085,44,<94,8>,<94,52>)>,
  <<|java+class:///org/castor/ddlgen/typeinfo/LobType|,|java+interface:///org/castor/ddlgen/typeinfo/TypeInfo|>,207,|project://castor-1.3.3_ddlgen/src/main/java/org/castor/ddlgen/engine/db2/Db2TypeMapper.java|(4140,49,<95,8>,<95,57>)>,
  <<|java+class:///org/castor/ddlgen/typeinfo/LobType|,|java+interface:///org/castor/ddlgen/typeinfo/TypeInfo|>,207,|project://castor-1.3.3_ddlgen/src/main/java/org/castor/ddlgen/engine/db2/Db2TypeMapper.java|(4200,43,<96,8>,<96,51>)>,
  <<|java+class:///org/castor/ddlgen/typeinfo/LobType|,|java+interface:///org/castor/ddlgen/typeinfo/TypeInfo|>,207,|project://castor-1.3.3_ddlgen/src/main/java/org/castor/ddlgen/engine/db2/Db2TypeMapper.java|(4254,43,<97,8>,<97,51>)>,
  <<|java+class:///java/util/ArrayList|,|java+interface:///java/util/List|>,202,|java+field:///org/castor/ddlgen/schemaobject/ForeignKey/_referencedFields|>,
  <<|java+class:///java/util/ArrayList|,|java+interface:///java/util/List|>,202,|java+field:///org/castor/ddlgen/schemaobject/ForeignKey/_fields|>,
  <<|java+class:///java/lang/String|,|java+class:///java/lang/Object|>,207,|project://castor-1.3.3_ddlgen/src/main/java/org/castor/ddlgen/schemaobject/ForeignKey.java|(7254,14,<234,12>,<234,26>)>,
  <<|java+class:///java/lang/String|,|java+class:///java/lang/Object|>,207,|project://castor-1.3.3_ddlgen/src/main/java/org/castor/ddlgen/schemaobject/ForeignKey.java|(7354,31,<238,13>,<238,44>)>,
  <<|java+class:///java/lang/String|,|java+class:///java/lang/Object|>,207,|project://castor-1.3.3_ddlgen/src/main/java/org/castor/ddlgen/schemaobject/ForeignKey.java|(7354,31,<238,13>,<238,44>)>,
  <<|java+class:///java/lang/String|,|java+class:///java/lang/Object|>,207,|project://castor-1.3.3_ddlgen/src/main/java/org/castor/ddlgen/schemaobject/ForeignKey.java|(7478,14,<240,12>,<240,26>)>,
