{
  <<|java+class:///org/springframework/core/convert/support/ArrayToStringConverter|,|java+interface:///org/springframework/core/convert/converter/ConditionalGenericConverter|>,2,|java+interface:///org/springframework/core/convert/converter/GenericConverter|>,
  <<|java+class:///org/springframework/core/convert/support/CollectionToStringConverter|,|java+interface:///org/springframework/core/convert/converter/ConditionalGenericConverter|>,2,|java+interface:///org/springframework/core/convert/converter/GenericConverter|>,
  <<|java+class:///org/springframework/util/LinkedCaseInsensitiveMap|,|java+class:///java/util/LinkedHashMap|>,2,|java+interface:///java/util/Map|>,
  <<|java+class:///org/springframework/core/convert/support/StringToCollectionConverter|,|java+interface:///org/springframework/core/convert/converter/ConditionalGenericConverter|>,2,|java+interface:///org/springframework/core/convert/converter/GenericConverter|>,
  <<|java+class:///org/springframework/core/enums/AbstractLabeledEnum|,|java+interface:///org/springframework/core/enums/LabeledEnum|>,2,|java+interface:///org/springframework/core/enums/LabeledEnum|>,
  <<|java+class:///org/springframework/core/convert/support/ArrayToCollectionConverter|,|java+interface:///org/springframework/core/convert/converter/ConditionalGenericConverter|>,2,|java+interface:///org/springframework/core/convert/converter/GenericConverter|>,
  <<|java+class:///org/springframework/core/convert/support/ArrayToObjectConverter|,|java+interface:///org/springframework/core/convert/converter/ConditionalGenericConverter|>,2,|java+interface:///org/springframework/core/convert/converter/GenericConverter|>,
  <<|java+class:///org/springframework/core/convert/support/ObjectToStringConverter|,|java+interface:///org/springframework/core/convert/converter/ConditionalGenericConverter|>,2,|java+interface:///org/springframework/core/convert/converter/GenericConverter|>,
  <<|java+class:///org/springframework/core/io/AbstractFileResolvingResource|,|java+class:///org/springframework/core/io/AbstractResource|>,2,|java+class:///java/lang/Object|>,
  <<|java+class:///org/springframework/core/io/ClassPathResource|,|java+class:///org/springframework/core/io/AbstractFileResolvingResource|>,2,|java+interface:///org/springframework/core/io/Resource|>,
  <<|java+class:///org/springframework/util/xml/AbstractStaxContentHandler|,|java+interface:///org/xml/sax/ContentHandler|>,2,|java+interface:///org/xml/sax/ContentHandler|>,
  <<|java+class:///org/springframework/util/xml/StaxStreamContentHandler|,|java+class:///org/springframework/util/xml/AbstractStaxContentHandler|>,2,|java+interface:///org/xml/sax/ContentHandler|>,
  <<|java+class:///org/springframework/core/enums/StaticLabeledEnum|,|java+class:///org/springframework/core/enums/AbstractLabeledEnum|>,2,|java+class:///java/lang/Object|>,
  <<|java+class:///org/springframework/core/type/classreading/SimpleMetadataReaderFactory|,|java+interface:///org/springframework/core/type/classreading/MetadataReaderFactory|>,2,|java+interface:///org/springframework/core/type/classreading/MetadataReaderFactory|>,
  <<|java+class:///org/springframework/core/convert/support/StringToArrayConverter|,|java+interface:///org/springframework/core/convert/converter/ConditionalGenericConverter|>,2,|java+interface:///org/springframework/core/convert/converter/GenericConverter|>,
  <<|java+class:///org/springframework/core/convert/support/MapToMapConverter|,|java+interface:///org/springframework/core/convert/converter/ConditionalGenericConverter|>,2,|java+interface:///org/springframework/core/convert/converter/GenericConverter|>
}
