{
  <<|java+class:///org/apache/tools/ant/taskdefs/compilers/DefaultCompilerAdapter|,|java+interface:///org/apache/tools/ant/taskdefs/compilers/CompilerAdapter|>,2,|java+interface:///org/apache/tools/ant/taskdefs/compilers/CompilerAdapter|>,
  <<|java+class:///org/apache/tools/ant/taskdefs/VerifyJar|,|java+class:///org/apache/tools/ant/taskdefs/AbstractJarSignerTask|>,2,|java+class:///org/apache/tools/ant/Task|>,
  <<|java+class:///org/apache/tools/ant/util/LeadPipeInputStream|,|java+class:///java/io/PipedInputStream|>,2,|java+class:///java/io/InputStream|>,
  <<|java+class:///org/apache/tools/ant/UnknownElement|,|java+class:///org/apache/tools/ant/Task|>,2,|java+class:///java/lang/Object|>,
  <<|java+class:///org/apache/tools/ant/types/selectors/TypeSelector|,|java+class:///org/apache/tools/ant/types/selectors/BaseExtendSelector|>,2,|java+interface:///org/apache/tools/ant/types/selectors/FileSelector|>,
  <<|java+class:///org/apache/tools/ant/types/DataType|,|java+class:///org/apache/tools/ant/ProjectComponent|>,2,|java+class:///org/apache/tools/ant/ProjectComponent|>,
  <<|java+class:///org/apache/tools/ant/filters/PrefixLines|,|java+class:///org/apache/tools/ant/filters/BaseParamFilterReader|>,2,|java+class:///java/io/Reader|>,
  <<|java+class:///org/apache/tools/ant/taskdefs/rmic/SunRmic|,|java+class:///org/apache/tools/ant/taskdefs/rmic/DefaultRmicAdapter|>,2,|java+interface:///org/apache/tools/ant/taskdefs/rmic/RmicAdapter|>,
  <<|java+class:///org/apache/tools/ant/util/XMLFragment|,|java+class:///org/apache/tools/ant/ProjectComponent|>,2,|java+class:///org/apache/tools/ant/ProjectComponent|>,
  <<|java+interface:///org/apache/tools/zip/CentralDirectoryParsingZipExtraField|,|java+interface:///org/apache/tools/zip/ZipExtraField|>,2,|java+interface:///org/apache/tools/zip/ZipExtraField|>,
  <<|java+class:///org/apache/tools/ant/filters/StripJavaComments|,|java+class:///org/apache/tools/ant/filters/BaseFilterReader|>,2,|java+class:///java/io/Reader|>,
  <<|java+class:///org/apache/tools/ant/filters/FixCrLfFilter/CrLf|,|java+class:///org/apache/tools/ant/types/EnumeratedAttribute|>,2,|java+class:///java/lang/Object|>,
  <<|java+class:///org/apache/tools/ant/taskdefs/optional/ccm/Continuus|,|java+class:///org/apache/tools/ant/Task|>,2,|java+class:///org/apache/tools/ant/Task|>,
  <<|java+class:///org/apache/tools/ant/taskdefs/optional/ejb/EjbJar/DTDLocation|,|java+class:///org/apache/tools/ant/types/DTDLocation|>,2,|java+class:///java/lang/Object|>,
  <<|java+class:///org/apache/tools/ant/filters/TokenFilter/StringTokenizer|,|java+class:///org/apache/tools/ant/util/StringTokenizer|>,2,|java+interface:///org/apache/tools/ant/util/Tokenizer|>,
  <<|java+class:///org/apache/tools/ant/types/resources/Union|,|java+class:///org/apache/tools/ant/types/resources/BaseResourceCollectionContainer|>,2,|java+class:///org/apache/tools/ant/types/DataType|>,
  <<|java+class:///org/apache/tools/ant/types/selectors/SelectSelector|,|java+class:///org/apache/tools/ant/types/selectors/BaseSelectorContainer|>,2,|java+class:///java/lang/Object|>,
  <<|java+class:///org/apache/tools/ant/types/selectors/MajoritySelector|,|java+class:///org/apache/tools/ant/types/selectors/BaseSelectorContainer|>,2,|java+interface:///org/apache/tools/ant/types/selectors/FileSelector|>,
  <<|java+class:///org/apache/tools/ant/types/selectors/DepthSelector|,|java+class:///org/apache/tools/ant/types/selectors/BaseExtendSelector|>,2,|java+interface:///org/apache/tools/ant/types/selectors/FileSelector|>,
  <<|java+class:///org/apache/tools/ant/taskdefs/optional/Native2Ascii|,|java+class:///org/apache/tools/ant/taskdefs/MatchingTask|>,2,|java+class:///org/apache/tools/ant/ProjectComponent|>,
  <<|java+class:///org/apache/tools/ant/taskdefs/Tar/TarFileSet|,|java+class:///org/apache/tools/ant/types/TarFileSet|>,2,|java+class:///org/apache/tools/ant/types/ArchiveFileSet|>,
  <<|java+class:///org/apache/tools/ant/taskdefs/optional/NetRexxC|,|java+class:///org/apache/tools/ant/taskdefs/MatchingTask|>,2,|java+class:///org/apache/tools/ant/Task|>,
  <<|java+class:///org/apache/tools/ant/types/TarFileSet|,|java+class:///org/apache/tools/ant/types/ArchiveFileSet|>,2,|java+class:///org/apache/tools/ant/types/DataType|>,
  <<|java+class:///org/apache/tools/ant/types/TarFileSet|,|java+class:///org/apache/tools/ant/types/ArchiveFileSet|>,2,|java+class:///org/apache/tools/ant/types/ArchiveFileSet|>,
  <<|java+class:///org/apache/tools/ant/taskdefs/optional/Script|,|java+class:///org/apache/tools/ant/Task|>,2,|java+class:///org/apache/tools/ant/ProjectComponent|>,
  <<|java+class:///org/apache/tools/ant/types/DataType|,|java+class:///org/apache/tools/ant/ProjectComponent|>,2,|java+interface:///java/util/Iterator|>,
  <<|java+class:///org/apache/tools/ant/types/resources/BaseResourceCollectionWrapper|,|java+class:///org/apache/tools/ant/types/DataType|>,2,|java+class:///org/apache/tools/ant/ProjectComponent|>,
  <<|java+class:///org/apache/tools/ant/taskdefs/Tar|,|java+class:///org/apache/tools/ant/taskdefs/MatchingTask|>,2,|java+class:///org/apache/tools/ant/Task|>,
  <<|java+class:///org/apache/tools/ant/types/selectors/DifferentSelector|,|java+class:///org/apache/tools/ant/types/selectors/MappingSelector|>,2,|java+interface:///org/apache/tools/ant/types/selectors/FileSelector|>,
  <<|java+class:///org/apache/tools/ant/types/ZipFileSet|,|java+class:///org/apache/tools/ant/types/ArchiveFileSet|>,2,|java+class:///org/apache/tools/ant/types/FileSet|>,
  <<|java+class:///org/apache/tools/ant/types/optional/ScriptSelector|,|java+class:///org/apache/tools/ant/types/selectors/BaseSelector|>,2,|java+class:///org/apache/tools/ant/ProjectComponent|>,
  <<|java+class:///org/apache/tools/ant/taskdefs/Antlib|,|java+class:///org/apache/tools/ant/Task|>,2,|java+class:///java/lang/Object|>,
  <<|java+class:///org/apache/tools/ant/taskdefs/optional/Native2Ascii|,|java+class:///org/apache/tools/ant/taskdefs/MatchingTask|>,2,|java+class:///org/apache/tools/ant/Task|>,
  <<|java+class:///org/apache/tools/ant/types/ArchiveFileSet|,|java+class:///org/apache/tools/ant/types/FileSet|>,2,|java+class:///org/apache/tools/ant/types/DataType|>,
  <<|java+class:///org/apache/tools/ant/property/LocalProperties|,|java+interface:///org/apache/tools/ant/PropertyHelper/PropertyEvaluator|>,2,|java+interface:///org/apache/tools/ant/PropertyHelper/Delegate|>,
  <<|java+class:///org/apache/tools/ant/filters/ReplaceTokens|,|java+class:///org/apache/tools/ant/filters/BaseParamFilterReader|>,2,|java+class:///java/io/Reader|>,
  <<|java+class:///org/apache/tools/ant/types/optional/depend/DependScanner|,|java+class:///org/apache/tools/ant/DirectoryScanner|>,2,|java+interface:///org/apache/tools/ant/FileScanner|>,
  <<|java+class:///org/apache/tools/ant/taskdefs/optional/depend/constantpool/ClassCPInfo|,|java+class:///org/apache/tools/ant/taskdefs/optional/depend/constantpool/ConstantPoolEntry|>,2,|java+class:///java/lang/Object|>,
  <<|java+class:///org/apache/tools/ant/taskdefs/Sequential|,|java+class:///org/apache/tools/ant/Task|>,2,|java+class:///java/lang/Object|>,
  <<|java+class:///org/apache/tools/ant/UnsupportedElementException|,|java+class:///org/apache/tools/ant/BuildException|>,2,|java+class:///java/lang/Throwable|>,
  <<|java+class:///org/apache/tools/ant/UnsupportedAttributeException|,|java+class:///org/apache/tools/ant/BuildException|>,2,|java+class:///java/lang/Throwable|>,
  <<|java+class:///org/apache/tools/ant/taskdefs/optional/ssh/Scp|,|java+class:///org/apache/tools/ant/taskdefs/optional/ssh/SSHBase|>,2,|java+class:///org/apache/tools/ant/Task|>,
  <<|java+class:///org/apache/tools/ant/filters/SuffixLines|,|java+class:///org/apache/tools/ant/filters/BaseParamFilterReader|>,2,|java+class:///java/io/Reader|>,
  <<|java+class:///org/apache/tools/ant/taskdefs/optional/perforce/SimpleP4OutputHandler|,|java+class:///org/apache/tools/ant/taskdefs/optional/perforce/P4HandlerAdapter|>,2,|java+interface:///org/apache/tools/ant/taskdefs/optional/perforce/P4Handler|>,
  <<|java+class:///org/apache/tools/ant/types/Resource|,|java+class:///org/apache/tools/ant/types/DataType|>,2,|java+class:///java/lang/Object|>,
  <<|java+class:///org/apache/tools/ant/types/resources/Files|,|java+class:///org/apache/tools/ant/types/selectors/AbstractSelectorContainer|>,2,|java+class:///java/lang/Object|>,
  <<|java+class:///org/apache/tools/ant/taskdefs/PreSetDef|,|java+class:///org/apache/tools/ant/taskdefs/AntlibDefinition|>,2,|java+class:///org/apache/tools/ant/Task|>,
  <<|java+class:///org/apache/tools/ant/taskdefs/Ant/Reference|,|java+class:///org/apache/tools/ant/types/Reference|>,2,|java+class:///java/lang/Object|>,
  <<|java+class:///org/apache/tools/ant/taskdefs/Copy|,|java+class:///org/apache/tools/ant/Task|>,2,|java+class:///org/apache/tools/ant/ProjectComponent|>,
  <<|java+class:///org/apache/tools/ant/taskdefs/AbstractJarSignerTask|,|java+class:///org/apache/tools/ant/Task|>,2,|java+class:///org/apache/tools/ant/Task|>,
  <<|java+class:///org/apache/tools/ant/filters/FixCrLfFilter/AddTabFilter|,|java+class:///org/apache/tools/ant/filters/FixCrLfFilter/SimpleFilterReader|>,2,|java+class:///java/io/Reader|>,
  <<|java+class:///org/apache/tools/ant/types/selectors/DateSelector|,|java+class:///org/apache/tools/ant/types/selectors/BaseExtendSelector|>,2,|java+interface:///org/apache/tools/ant/types/selectors/FileSelector|>,
  <<|java+class:///org/apache/tools/ant/types/optional/depend/ClassfileSet|,|java+class:///org/apache/tools/ant/types/FileSet|>,2,|java+class:///java/lang/Object|>,
  <<|java+class:///org/apache/tools/ant/taskdefs/ExecTask|,|java+class:///org/apache/tools/ant/Task|>,2,|java+class:///org/apache/tools/ant/Task|>,
  <<|java+class:///org/apache/tools/ant/types/Assertions|,|java+class:///org/apache/tools/ant/types/DataType|>,2,|java+class:///java/lang/Object|>,
  <<|java+class:///org/apache/tools/ant/types/selectors/NoneSelector|,|java+class:///org/apache/tools/ant/types/selectors/BaseSelectorContainer|>,2,|java+interface:///org/apache/tools/ant/types/selectors/FileSelector|>,
  <<|java+class:///org/apache/tools/ant/types/Commandline/Argument|,|java+class:///org/apache/tools/ant/ProjectComponent|>,2,|java+class:///java/lang/Object|>,
  <<|java+class:///org/apache/tools/ant/taskdefs/optional/jsp/compilers/DefaultJspCompilerAdapter|,|java+interface:///org/apache/tools/ant/taskdefs/optional/jsp/compilers/JspCompilerAdapter|>,2,|java+interface:///org/apache/tools/ant/taskdefs/optional/jsp/compilers/JspCompilerAdapter|>,
  <<|java+class:///org/apache/tools/ant/types/ArchiveFileSet|,|java+class:///org/apache/tools/ant/types/FileSet|>,2,|java+class:///org/apache/tools/ant/types/AbstractFileSet|>,
  <<|java+class:///org/apache/tools/ant/types/resources/ArchiveResource|,|java+class:///org/apache/tools/ant/types/Resource|>,2,|java+class:///org/apache/tools/ant/types/Resource|>,
  <<|java+class:///org/apache/tools/ant/types/resources/comparators/DelegatedResourceComparator|,|java+class:///org/apache/tools/ant/types/resources/comparators/ResourceComparator|>,2,|java+class:///java/lang/Object|>,
  <<|java+class:///org/apache/tools/ant/taskdefs/SignJar|,|java+class:///org/apache/tools/ant/taskdefs/AbstractJarSignerTask|>,2,|java+class:///org/apache/tools/ant/Task|>,
  <<|java+class:///org/apache/tools/ant/taskdefs/optional/ejb/EjbJar|,|java+class:///org/apache/tools/ant/taskdefs/MatchingTask|>,2,|java+class:///org/apache/tools/ant/Task|>,
  <<|java+class:///org/apache/tools/ant/taskdefs/optional/ejb/JbossDeploymentTool|,|java+class:///org/apache/tools/ant/taskdefs/optional/ejb/GenericDeploymentTool|>,2,|java+interface:///org/apache/tools/ant/taskdefs/optional/ejb/EJBDeploymentTool|>,
  <<|java+class:///org/apache/tools/ant/taskdefs/Execute/MacCommandLauncher|,|java+class:///org/apache/tools/ant/taskdefs/Execute/CommandLauncherProxy|>,2,|java+class:///org/apache/tools/ant/taskdefs/Execute/CommandLauncher|>,
  <<|java+class:///org/apache/tools/ant/taskdefs/optional/depend/constantpool/NameAndTypeCPInfo|,|java+class:///org/apache/tools/ant/taskdefs/optional/depend/constantpool/ConstantPoolEntry|>,2,|java+class:///java/lang/Object|>,
  <<|java+class:///org/apache/tools/ant/util/WorkerAnt|,|java+class:///java/lang/Thread|>,2,|java+class:///java/lang/Object|>,
  <<|java+class:///org/apache/tools/zip/ZipOutputStream|,|java+class:///java/io/FilterOutputStream|>,2,|java+class:///java/io/OutputStream|>,
  <<|java+class:///org/apache/tools/ant/taskdefs/cvslib/RedirectingStreamHandler|,|java+class:///org/apache/tools/ant/taskdefs/PumpStreamHandler|>,2,|java+interface:///org/apache/tools/ant/taskdefs/ExecuteStreamHandler|>,
  <<|java+class:///org/apache/tools/ant/taskdefs/Zip|,|java+class:///org/apache/tools/ant/taskdefs/MatchingTask|>,2,|java+class:///org/apache/tools/ant/ProjectComponent|>,
  <<|java+class:///org/apache/tools/ant/util/LayoutPreservingProperties|,|java+class:///java/util/Properties|>,2,|java+class:///java/lang/Object|>,
  <<|java+class:///org/apache/tools/ant/taskdefs/optional/unix/Symlink|,|java+class:///org/apache/tools/ant/dispatch/DispatchTask|>,2,|java+class:///org/apache/tools/ant/Task|>,
  <<|java+class:///org/apache/tools/ant/taskdefs/Length/AllHandler|,|java+class:///org/apache/tools/ant/taskdefs/Length/AccumHandler|>,2,|java+class:///org/apache/tools/ant/taskdefs/Length/Handler|>,
  <<|java+class:///org/apache/tools/ant/taskdefs/optional/extension/ExtensionSet|,|java+class:///org/apache/tools/ant/types/DataType|>,2,|java+class:///java/lang/Object|>,
  <<|java+class:///org/apache/tools/ant/types/AntFilterReader|,|java+class:///org/apache/tools/ant/types/DataType|>,2,|java+class:///java/lang/Object|>,
  <<|java+class:///org/apache/tools/ant/types/resources/BaseResourceCollectionContainer|,|java+class:///org/apache/tools/ant/types/DataType|>,2,|java+class:///org/apache/tools/ant/types/DataType|>,
  <<|java+class:///org/apache/tools/ant/taskdefs/FixCRLF|,|java+class:///org/apache/tools/ant/taskdefs/MatchingTask|>,2,|java+class:///org/apache/tools/ant/Task|>,
  <<|java+class:///org/apache/tools/ant/util/LayoutPreservingProperties/Pair|,|java+class:///org/apache/tools/ant/util/LayoutPreservingProperties/LogicalLine|>,2,|java+class:///java/lang/Object|>,
  <<|java+class:///org/apache/tools/ant/taskdefs/Concat|,|java+class:///org/apache/tools/ant/Task|>,2,|java+class:///org/apache/tools/ant/ProjectComponent|>,
  <<|java+class:///org/apache/tools/ant/types/ZipFileSet|,|java+class:///org/apache/tools/ant/types/ArchiveFileSet|>,2,|java+class:///java/lang/Object|>,
  <<|java+class:///org/apache/tools/ant/taskdefs/Javac|,|java+class:///org/apache/tools/ant/taskdefs/MatchingTask|>,2,|java+class:///org/apache/tools/ant/ProjectComponent|>,
  <<|java+class:///org/apache/tools/ant/types/selectors/ExtendSelector|,|java+class:///org/apache/tools/ant/types/selectors/BaseSelector|>,2,|java+interface:///org/apache/tools/ant/types/selectors/FileSelector|>,
  <<|java+class:///org/apache/tools/ant/taskdefs/Execute/OS2CommandLauncher|,|java+class:///org/apache/tools/ant/taskdefs/Execute/CommandLauncherProxy|>,2,|java+class:///org/apache/tools/ant/taskdefs/Execute/CommandLauncher|>,
  <<|java+class:///org/apache/tools/ant/types/selectors/AbstractSelectorContainer|,|java+class:///org/apache/tools/ant/types/DataType|>,2,|java+class:///java/lang/Object|>,
  <<|java+class:///org/apache/tools/ant/taskdefs/Execute/ScriptCommandLauncher|,|java+class:///org/apache/tools/ant/taskdefs/Execute/CommandLauncherProxy|>,2,|java+class:///org/apache/tools/ant/taskdefs/Execute/CommandLauncher|>,
