[
  <<|java+class:///org/exolab/castor/xml/schema/Group|,|java+class:///org/exolab/castor/xml/schema/Particle|>,211,|project://castor-1.3.3_xml-schema/src/main/java/org/exolab/castor/xml/schema/reader/GroupUnmarshaller.java|(12235,25,<351,12>,<351,37>),|java+method:///org/exolab/castor/xml/schema/Annotated/addAnnotation(org.exolab.castor.xml.schema.Annotation)|>,
  <<|java+class:///org/exolab/castor/xml/schema/Particle|,|java+class:///org/exolab/castor/xml/schema/Annotated|>,211,|project://castor-1.3.3_xml-schema/src/main/java/org/exolab/castor/xml/schema/reader/GroupUnmarshaller.java|(12235,25,<351,12>,<351,37>),|java+method:///org/exolab/castor/xml/schema/Annotated/addAnnotation(org.exolab.castor.xml.schema.Annotation)|>,
  <<|java+class:///org/exolab/castor/xml/schema/XMLType|,|java+class:///org/exolab/castor/xml/schema/Annotated|>,211,|project://castor-1.3.3_xml-schema/src/main/java/org/exolab/castor/xml/schema/reader/SimpleTypeRestrictionUnmarshaller.java|(4733,27,<125,21>,<125,48>),|java+method:///org/exolab/castor/xml/schema/Structure/getStructureType()|>,
  <<|java+class:///org/exolab/castor/xml/schema/Annotated|,|java+class:///org/exolab/castor/xml/schema/Structure|>,211,|project://castor-1.3.3_xml-schema/src/main/java/org/exolab/castor/xml/schema/reader/SimpleTypeRestrictionUnmarshaller.java|(4733,27,<125,21>,<125,48>),|java+method:///org/exolab/castor/xml/schema/Structure/getStructureType()|>,
  <<|java+class:///org/exolab/castor/xml/schema/Schema|,|java+class:///org/exolab/castor/xml/schema/Annotated|>,211,|project://castor-1.3.3_xml-schema/src/main/java/org/exolab/castor/xml/schema/reader/SchemaLocation.java|(5885,18,<179,27>,<179,45>),|java+method:///java/lang/Object/toString()|>,
  <<|java+class:///org/exolab/castor/xml/schema/AttributeGroupDecl|,|java+class:///org/exolab/castor/xml/schema/AttributeGroup|>,210,|project://castor-1.3.3_xml-schema/src/main/java/org/exolab/castor/xml/schema/reader/AttributeGroupUnmarshaller.java|(5031,49,<133,12>,<133,61>),|java+method:///org/exolab/castor/xml/schema/AttributeGroup/setId(java.lang.String)|>,
  <<|java+class:///org/exolab/castor/xml/schema/SchemaException|,|java+class:///org/exolab/castor/xml/XMLException|>,211,|project://castor-1.3.3_xml-schema/src/main/java/org/exolab/castor/xml/schema/reader/AttributeGroupUnmarshaller.java|(9486,14,<261,51>,<261,65>),|java+method:///java/lang/Throwable/getMessage()|>,
  <<|java+class:///org/exolab/castor/xml/schema/AttributeGroup|,|java+class:///org/exolab/castor/xml/schema/Annotated|>,210,|project://castor-1.3.3_xml-schema/src/main/java/org/exolab/castor/xml/schema/reader/AttributeGroupUnmarshaller.java|(10625,34,<292,12>,<292,46>),|java+method:///org/exolab/castor/xml/schema/Annotated/addAnnotation(org.exolab.castor.xml.schema.Annotation)|>,
  <<|java+class:///org/exolab/castor/xml/schema/reader/SchemaUnmarshaller|,|java+class:///org/exolab/castor/xml/schema/reader/ComponentReader|>,210,|project://castor-1.3.3_xml-schema/src/main/java/org/exolab/castor/xml/schema/reader/ImportUnmarshaller.java|(8164,51,<198,10>,<198,61>),|java+method:///org/exolab/castor/xml/schema/reader/ComponentReader/setURIResolver(org.exolab.castor.net.URIResolver)|>,
  <<|java+class:///org/exolab/castor/xml/schema/ComplexType|,|java+class:///org/exolab/castor/xml/schema/XMLType|>,210,|project://castor-1.3.3_xml-schema/src/main/java/org/exolab/castor/xml/schema/reader/SimpleContentRestrictionUnmarshaller.java|(4835,57,<124,8>,<124,65>),|java+method:///org/exolab/castor/xml/schema/XMLType/setDerivationMethod(java.lang.String)|>,
  <<|java+class:///org/exolab/castor/xml/schema/ComplexType|,|java+class:///org/exolab/castor/xml/schema/XMLType|>,210,|project://castor-1.3.3_xml-schema/src/main/java/org/exolab/castor/xml/schema/reader/SimpleContentRestrictionUnmarshaller.java|(4958,23,<126,19>,<126,42>),|java+method:///org/exolab/castor/xml/schema/XMLType/getSchema()|>,
  <<|java+class:///org/exolab/castor/xml/schema/ComplexType|,|java+class:///org/exolab/castor/xml/schema/XMLType|>,210,|project://castor-1.3.3_xml-schema/src/main/java/org/exolab/castor/xml/schema/reader/SimpleContentRestrictionUnmarshaller.java|(5541,22,<141,30>,<141,52>),|java+method:///org/exolab/castor/xml/schema/XMLType/getName()|>,
  <<|java+class:///org/exolab/castor/xml/schema/ComplexType|,|java+class:///org/exolab/castor/xml/schema/XMLType|>,210,|project://castor-1.3.3_xml-schema/src/main/java/org/exolab/castor/xml/schema/reader/SimpleContentRestrictionUnmarshaller.java|(6815,22,<168,36>,<168,58>),|java+method:///org/exolab/castor/xml/schema/XMLType/getName()|>,
  <<|java+class:///org/exolab/castor/xml/schema/ComplexType|,|java+class:///org/exolab/castor/xml/schema/XMLType|>,210,|project://castor-1.3.3_xml-schema/src/main/java/org/exolab/castor/xml/schema/reader/SimpleContentRestrictionUnmarshaller.java|(7838,14,<187,41>,<187,55>),|java+method:///org/exolab/castor/xml/schema/XMLType/getName()|>,
  <<|java+class:///org/exolab/castor/xml/schema/ComplexType|,|java+class:///org/exolab/castor/xml/schema/XMLType|>,210,|project://castor-1.3.3_xml-schema/src/main/java/org/exolab/castor/xml/schema/reader/SimpleContentRestrictionUnmarshaller.java|(7918,14,<188,62>,<188,76>),|java+method:///org/exolab/castor/xml/schema/XMLType/getName()|>,
  <<|java+class:///org/exolab/castor/xml/schema/ComplexType|,|java+class:///org/exolab/castor/xml/schema/XMLType|>,211,|project://castor-1.3.3_xml-schema/src/main/java/org/exolab/castor/xml/schema/reader/SimpleContentRestrictionUnmarshaller.java|(13534,31,<342,12>,<342,43>),|java+method:///org/exolab/castor/xml/schema/Annotated/addAnnotation(org.exolab.castor.xml.schema.Annotation)|>,
  <<|java+class:///org/exolab/castor/xml/schema/XMLType|,|java+class:///org/exolab/castor/xml/schema/Annotated|>,211,|project://castor-1.3.3_xml-schema/src/main/java/org/exolab/castor/xml/schema/reader/SimpleContentRestrictionUnmarshaller.java|(13534,31,<342,12>,<342,43>),|java+method:///org/exolab/castor/xml/schema/Annotated/addAnnotation(org.exolab.castor.xml.schema.Annotation)|>,
  <<|java+class:///org/exolab/castor/xml/schema/SchemaException|,|java+class:///org/exolab/castor/xml/XMLException|>,211,|project://castor-1.3.3_xml-schema/src/main/java/org/exolab/castor/xml/schema/reader/SimpleContentRestrictionUnmarshaller.java|(13941,14,<351,51>,<351,65>),|java+method:///java/lang/Throwable/getMessage()|>,
